steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
5370198689,4399,4,4,4,4,4,4,4,4,4,4
5370229924,4400,4,4,4,4,4,4,4,4,4,4
5370306185,4401,4,4,4,4,4,4,4,4,4,4
5370312720,4402,4,4,4,4,4,4,4,4,4,4
5370326249,4403,4,4,4,4,4,4,4,4,4,4
5370356269,4404,4,4,4,4,4,4,4,4,4,4
5370410217,4405,4,4,4,4,4,4,4,4,4,4
5370420154,4406,4,4,4,4,4,4,4,4,4,4
5370447982,4407,4,4,4,4,4,4,4,4,4,4
5370486108,4408,4,4,4,4,4,4,4,4,4,4
5370541413,4409,4,4,4,4,4,4,4,4,4,4
5370546390,4410,4,4,4,4,4,4,4,4,4,4
5370640951,4411,4,4,4,4,4,4,4,4,4,4
5370666363,4412,4,4,4,4,4,4,4,4,4,4
5370671820,4413,4,4,4,4,4,4,4,4,4,4
5370677462,4414,4,4,4,4,4,4,4,4,4,4
5370700258,4415,4,4,4,4,4,4,4,4,4,4
5370730421,4416,4,4,4,4,4,4,4,4,4,4
5370772673,4417,4,4,4,4,4,4,4,4,4,4
5370794295,4418,4,4,4,4,4,4,4,4,4,4
5370828181,4419,4,4,4,4,4,4,4,4,4,4
5370855583,4420,4,4,4,4,4,4,4,4,4,4
5370886482,4421,4,4,4,4,4,4,4,4,4,4
5370921576,4422,4,4,4,4,4,4,4,4,4,4
5370958769,4423,4,4,4,4,4,4,4,4,4,4
5371010750,4424,4,4,4,4,4,4,4,4,4,4
5371017640,4425,4,4,4,4,4,4,4,4,4,4
5371046540,4426,4,4,4,4,4,4,4,4,4,4
5371074068,4427,4,4,4,4,4,4,4,4,4,4
5371126828,4428,4,4,4,4,4,4,4,4,4,4
5371146237,4429,4,4,4,4,4,4,4,4,4,4
5371167702,4430,4,4,4,4,4,4,4,4,4,4
5371204430,4431,4,4,4,4,4,4,4,4,4,4
5371269352,4432,4,4,4,4,4,4,4,4,4,4
5371274548,4433,4,4,4,4,4,4,4,4,4,4
5371303308,4434,4,4,4,4,4,4,4,4,4,4
5371326324,4435,4,4,4,4,4,4,4,4,4,4
5371366189,4436,4,4,4,4,4,4,4,4,4,4
5371390613,4437,4,4,4,4,4,4,4,4,4,4
5371421216,4438,4,4,4,4,4,4,4,4,4,4
5371450348,4439,4,4,4,4,4,4,4,4,4,4
5371487863,4440,4,4,4,4,4,4,4,4,4,4
5371515813,4441,4,4,4,4,4,4,4,4,4,4
5371549948,4442,4,4,4,4,4,4,4,4,4,4
5371602756,4443,4,4,4,4,4,4,4,4,4,4
5371621472,4444,4,4,4,4,4,4,4,4,4,4
5371641080,4445,4,4,4,4,4,4,4,4,4,4
5371670447,4446,4,4,4,4,4,4,4,4,4,4
5371715140,4447,4,4,4,4,4,4,4,4,4,4
5371743081,4448,4,4,4,4,4,4,4,4,4,4
5371769112,4449,4,4,4,4,4,4,4,4,4,4
5371801251,4450,4,4,4,4,4,4,4,4,4,4
5371837646,4451,4,4,4,4,4,4,4,4,4,4
5371875093,4452,4,4,4,4,4,4,4,4,4,4
5371906337,4453,4,4,4,4,4,4,4,4,4,4
5371916345,4454,4,4,4,4,4,4,4,4,4,4
5371959368,4455,4,4,4,4,4,4,4,4,4,4
5371996176,4456,4,4,4,4,4,4,4,4,4,4
5372016485,4457,4,4,4,4,4,4,4,4,4,4
