steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
5390385325,4619,4,4,4,4,4,4,4,4,4,4
5390411593,4620,4,4,4,4,4,4,4,4,4,4
5390450437,4621,4,4,4,4,4,4,4,4,4,4
5390482772,4622,4,4,4,4,4,4,4,4,4,4
5390504007,4623,4,4,4,4,4,4,4,4,4,4
5390534488,4624,4,4,4,4,4,4,4,4,4,4
5390570469,4625,4,4,4,4,4,4,4,4,4,4
5390619135,4626,4,4,4,4,4,4,4,4,4,4
5390625439,4627,4,4,4,4,4,4,4,4,4,4
5390655506,4628,4,4,4,4,4,4,4,4,4,4
5390693301,4629,4,4,4,4,4,4,4,4,4,4
5390731544,4630,4,4,4,4,4,4,4,4,4,4
5390755395,4631,4,4,4,4,4,4,4,4,4,4
5390785958,4632,4,4,4,4,4,4,4,4,4,4
5390843904,4633,4,4,4,4,4,4,4,4,4,4
5390852105,4634,4,4,4,4,4,4,4,4,4,4
5390893070,4635,4,4,4,4,4,4,4,4,4,4
5390909187,4636,4,4,4,4,4,4,4,4,4,4
5390962621,4637,4,4,4,4,4,4,4,4,4,4
5390981519,4638,4,4,4,4,4,4,4,4,4,4
5391002114,4639,4,4,4,4,4,4,4,4,4,4
5391030545,4640,4,4,4,4,4,4,4,4,4,4
5391106808,4641,4,4,4,4,4,4,4,4,4,4
5391146458,4642,4,4,4,4,4,4,4,4,4,4
5391164038,4643,4,4,4,4,4,4,4,4,4,4
5391170010,4644,4,4,4,4,4,4,4,4,4,4
5391211249,4645,4,4,4,4,4,4,4,4,4,4
5391231670,4646,4,4,4,4,4,4,4,4,4,4
5391271616,4647,4,4,4,4,4,4,4,4,4,4
5391286417,4648,4,4,4,4,4,4,4,4,4,4
5391340398,4649,4,4,4,4,4,4,4,4,4,4
5391349100,4650,4,4,4,4,4,4,4,4,4,4
5391381679,4651,4,4,4,4,4,4,4,4,4,4
5391413260,4652,4,4,4,4,4,4,4,4,4,4
