steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
5583864905,7908,4,4,4,4,4,4,4,4,4,4
5583890210,7909,4,4,4,4,4,4,4,4,4,4
5583912677,7910,4,4,4,4,4,4,4,4,4,4
5583946413,7911,4,4,4,4,4,4,4,4,4,4
5583984581,7912,4,4,4,4,4,4,4,4,4,4
5584005293,7913,4,4,4,4,4,4,4,4,4,4
5584049130,7914,4,4,4,4,4,4,4,4,4,4
5584071643,7915,4,4,4,4,4,4,4,4,4,4
5584116482,7916,4,4,4,4,4,4,4,4,4,4
5584137801,7917,4,4,4,4,4,4,4,4,4,4
5584166453,7918,4,4,4,4,4,4,4,4,4,4
5584195147,7919,4,4,4,4,4,4,4,4,4,4
5584231223,7920,4,4,4,4,4,4,4,4,4,4
5584259059,7921,4,4,4,4,4,4,4,4,4,4
5584293827,7922,4,4,4,4,4,4,4,4,4,4
5584371858,7923,4,4,4,4,4,4,4,4,4,4
5584379023,7924,4,4,4,4,4,4,4,4,4,4
5584386910,7925,4,4,4,4,4,4,4,4,4,4
5584431715,7926,4,4,4,4,4,4,4,4,4,4
5584466798,7927,4,4,4,4,4,4,4,4,4,4
5584470193,7928,4,4,4,4,4,4,4,4,4,4
5584513541,7929,4,4,4,4,4,4,4,4,4,4
5584540241,7930,4,4,4,4,4,4,4,4,4,4
5584579194,7931,4,4,4,4,4,4,4,4,4,4
5584609302,7932,4,4,4,4,4,4,4,4,4,4
5584628900,7933,4,4,4,4,4,4,4,4,4,4
5584658254,7934,4,4,4,4,4,4,4,4,4,4
5584697910,7935,4,4,4,4,4,4,4,4,4,4
5584731430,7936,4,4,4,4,4,4,4,4,4,4
5584771620,7937,4,4,4,4,4,4,4,4,4,4
5584807386,7938,4,4,4,4,4,4,4,4,4,4
5584820190,7939,4,4,4,4,4,4,4,4,4,4
5584852952,7940,4,4,4,4,4,4,4,4,4,4
5584888114,7941,4,4,4,4,4,4,4,4,4,4
5584934076,7942,4,4,4,4,4,4,4,4,4,4
5584949695,7943,4,4,4,4,4,4,4,4,4,4
5585002594,7944,4,4,4,4,4,4,4,4,4,4
5585007138,7945,4,4,4,4,4,4,4,4,4,4
5585059622,7946,4,4,4,4,4,4,4,4,4,4
5585072010,7947,4,4,4,4,4,4,4,4,4,4
5585115525,7948,4,4,4,4,4,4,4,4,4,4
5585135515,7949,4,4,4,4,4,4,4,4,4,4
5585174965,7950,4,4,4,4,4,4,4,4,4,4
5585187318,7951,4,4,4,4,4,4,4,4,4,4
5585232648,7952,4,4,4,4,4,4,4,4,4,4
