steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
5519162960,6611,4,4,4,4,4,4,4,4,4,4
5519193850,6612,4,4,4,4,4,4,4,4,4,4
5519251189,6613,4,4,4,4,4,4,4,4,4,4
5519262220,6614,4,4,4,4,4,4,4,4,4,4
5519291183,6615,4,4,4,4,4,4,4,4,4,4
5519323832,6616,4,4,4,4,4,4,4,4,4,4
5519378681,6617,4,4,4,4,4,4,4,4,4,4
5519387463,6618,4,4,4,4,4,4,4,4,4,4
5519418637,6619,4,4,4,4,4,4,4,4,4,4
5519446739,6620,4,4,4,4,4,4,4,4,4,4
5519496033,6621,4,4,4,4,4,4,4,4,4,4
5519523567,6622,4,4,4,4,4,4,4,4,4,4
5519546357,6623,4,4,4,4,4,4,4,4,4,4
5519617553,6624,4,4,4,4,4,4,4,4,4,4
5519622815,6625,4,4,4,4,4,4,4,4,4,4
5519637464,6626,4,4,4,4,4,4,4,4,4,4
5519665068,6627,4,4,4,4,4,4,4,4,4,4
5519762659,6628,4,4,4,4,4,4,4,4,4,4
5519768972,6629,4,4,4,4,4,4,4,4,4,4
5519778985,6630,4,4,4,4,4,4,4,4,4,4
5519796132,6631,4,4,4,4,4,4,4,4,4,4
5519838831,6632,4,4,4,4,4,4,4,4,4,4
5519851307,6633,4,4,4,4,4,4,4,4,4,4
5519881038,6634,4,4,4,4,4,4,4,4,4,4
5519917555,6635,4,4,4,4,4,4,4,4,4,4
5519965058,6636,4,4,4,4,4,4,4,4,4,4
5519977312,6637,4,4,4,4,4,4,4,4,4,4
5520014891,6638,4,4,4,4,4,4,4,4,4,4
5520046074,6639,4,4,4,4,4,4,4,4,4,4
5520077290,6640,4,4,4,4,4,4,4,4,4,4
5520121286,6641,4,4,4,4,4,4,4,4,4,4
5520126484,6642,4,4,4,4,4,4,4,4,4,4
5520200950,6643,4,4,4,4,4,4,4,4,4,4
5520207223,6644,4,4,4,4,4,4,4,4,4,4
5520230975,6645,4,4,4,4,4,4,4,4,4,4
5520257864,6646,4,4,4,4,4,4,4,4,4,4
5520318848,6647,4,4,4,4,4,4,4,4,4,4
5520328690,6648,4,4,4,4,4,4,4,4,4,4
5520363672,6649,4,4,4,4,4,4,4,4,4,4
5520380813,6650,4,4,4,4,4,4,4,4,4,4
5520437912,6651,4,4,4,4,4,4,4,4,4,4
5520446257,6652,4,4,4,4,4,4,4,4,4,4
5520476160,6653,4,4,4,4,4,4,4,4,4,4
5520505367,6654,4,4,4,4,4,4,4,4,4,4
5520558116,6655,4,4,4,4,4,4,4,4,4,4
5520575907,6656,4,4,4,4,4,4,4,4,4,4
5520602510,6657,4,4,4,4,4,4,4,4,4,4
5520635030,6658,4,4,4,4,4,4,4,4,4,4
5520671547,6659,4,4,4,4,4,4,4,4,4,4
5520697448,6660,4,4,4,4,4,4,4,4,4,4
5520808953,6661,4,4,4,4,4,4,4,4,4,4
5520825057,6662,4,4,4,4,4,4,4,4,4,4
5520835076,6663,4,4,4,4,4,4,4,4,4,4
5520843601,6664,4,4,4,4,4,4,4,4,4,4
5520853734,6665,4,4,4,4,4,4,4,4,4,4
5520911370,6666,4,4,4,4,4,4,4,4,4,4
5520919154,6667,4,4,4,4,4,4,4,4,4,4
5520947483,6668,4,4,4,4,4,4,4,4,4,4
5521031262,6669,4,4,4,4,4,4,4,4,4,4
5521037501,6670,4,4,4,4,4,4,4,4,4,4
5521047635,6671,4,4,4,4,4,4,4,4,4,4
5521067335,6672,4,4,4,4,4,4,4,4,4,4
5521103429,6673,4,4,4,4,4,4,4,4,4,4
5521160427,6674,4,4,4,4,4,4,4,4,4,4
5521167536,6675,4,4,4,4,4,4,4,4,4,4
