steady_timestamp,sequence,battery,flags,TMS-ch1
5535913726,7064,-2,0,32169.0000000000
5535922406,7065,-2,0,63420.0000000000
5535953734,7066,-2,0,94671.0000000000
5535991035,7067,-2,0,125922.0000000000
5536027534,7068,-2,0,157173.0000000000
5536047460,7069,-2,0,188424.0000000000
5536081163,7070,-2,0,219675.0000000000
5536119396,7071,-2,0,250926.0000000000
5536143709,7072,-2,0,282177.0000000000
5536162416,7073,-2,0,313428.0000000000
5536195931,7074,-2,0,344679.0000000000
5536228475,7075,-2,0,375930.0000000000
5536265012,7076,-2,0,407181.0000000000
5536292293,7077,-2,0,438432.0000000000
5536322499,7078,-2,0,469683.0000000000
5536388725,7079,-2,0,500934.0000000000
5536397675,7080,-2,0,532185.0000000000
5536416217,7081,-2,0,563436.0000000000
5536449228,7082,-2,0,594687.0000000000
5536503714,7083,-2,0,625938.0000000000
5536511327,7084,-2,0,657189.0000000000
5536542652,7085,-2,0,688440.0000000000
5536571807,7086,-2,0,719691.0000000000
5536624062,7087,-2,0,750942.0000000000
5536633542,7088,-2,0,782193.0000000000
5536669108,7089,-2,0,813444.0000000000
5536703178,7090,-2,0,844695.0000000000
5536739806,7091,-2,0,875946.0000000000
5536758583,7092,-2,0,907197.0000000000
5536798699,7093,-2,0,938448.0000000000
5536843768,7094,-2,0,969699.0000000000
5536862035,7095,1,0,1000950.0000000000
5536907527,7096,1,0,1032201.0000000000
5536914091,7097,1,0,1063452.0000000000
5536967606,7098,1,0,1094703.0000000000
5537000063,7099,1,0,1125954.0000000000
5537016357,7100,1,0,1157205.0000000000
5537042123,7101,1,0,1188456.0000000000
5537102603,7102,1,0,1219707.0000000000
5537110401,7103,1,0,1250958.0000000000
5537136047,7104,1,0,1282209.0000000000
5537169114,7105,1,0,1313460.0000000000
5537216356,7106,1,0,1344711.0000000000
5537229313,7107,1,0,1375962.0000000000
5537258742,7108,1,0,1407213.0000000000
5537295655,7109,1,0,1438464.0000000000
5537326390,7110,1,0,1469715.0000000000
5537362597,7111,1,0,1500966.0000000000
5537392721,7112,1,0,1532217.0000000000
5537452873,7113,1,0,1563468.0000000000
5537458913,7114,1,0,1594719.0000000000
5537478827,7115,1,0,1625970.0000000000
5537515620,7116,1,0,1657221.0000000000
5537560578,7117,1,0,1688472.0000000000
5537574057,7118,1,0,1719723.0000000000
5537603843,7119,1,0,1750974.0000000000
5537643863,7120,1,0,1782225.0000000000
5537681055,7121,1,0,1813476.0000000000
5537701394,7122,1,0,1844727.0000000000
5537732600,7123,1,0,1875978.0000000000
