steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
5484796355,5937,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
5484820951,5938,-2,0,5.0842285156,-1.3900878906,-8.4027343750,-0.8841463415,2.5304878049,-1.6158536585,11.6999415003,-36.1498192509,-39.8998005010
5484886880,5939,-2,0,5.8331054688,-1.0431640625,-7.8715820313,-0.8841463415,0.2134146341,0.1219512195,12.2999385003,-34.7998260009,-39.5998020010
5484891896,5940,-2,0,5.8331054688,-1.0431640625,-7.8715820313,-0.7621951220,0.8536585366,-0.1829268293,12.2999385003,-34.7998260009,-39.5998020010
5484912582,5941,-2,0,5.8474609375,-1.0144531250,-8.0031738281,0.0304878049,1.0975609756,-0.2743902439,12.2999385003,-34.7998260009,-39.5998020010
5484944456,5942,-2,0,5.8953125000,-1.0216308594,-8.0007812500,0.1219512195,1.0365853659,0.0304878049,11.6999415003,-34.1998290009,-40.6497967510
5485009453,5943,-2,0,5.9312011719,-1.1005859375,-7.9385742188,-0.5487804878,0.4268292683,0.1829268293,11.6999415003,-34.1998290009,-40.6497967510
5485015694,5944,-2,0,5.9216308594,-1.1556152344,-7.9625000000,-1.0975609756,0.2743902439,0.3048780488,11.6999415003,-34.1998290009,-40.6497967510
5485042214,5945,-2,0,5.8953125000,-1.1149414063,-7.9744628906,-1.1890243902,0.1829268293,0.6402439024,10.7999460003,-35.8498207509,-41.0997945010
5485073473,5946,-2,0,5.8761718750,-1.1197265625,-7.9744628906,-1.0365853659,0.4268292683,-0.0914634146,10.7999460003,-35.8498207509,-41.0997945010
5485117079,5947,-2,0,5.7828613281,-1.1292968750,-7.9792480469,-0.9146341463,0.6402439024,-1.2500000000,10.7999460003,-35.8498207509,-41.0997945010
5485162061,5948,-2,0,5.8833496094,-1.0766601563,-8.0294921875,-0.4878048780,0.3963414634,-0.4268292683,11.6999415003,-34.4998275009,-38.6998065010
5485167974,5949,-2,0,5.8570312500,-1.1149414063,-7.9720703125,-0.7926829268,0.3353658537,0.3048780488,11.6999415003,-34.4998275009,-38.6998065010
5485196894,5950,-2,0,5.8307128906,-1.1962890625,-7.9577148438,-1.8292682927,0.1524390244,-0.4268292683,11.6999415003,-34.4998275009,-38.6998065010
5485233274,5951,-2,0,5.7708984375,-1.1388671875,-8.0079589844,-1.7682926829,0.4878048780,-0.8841463415,11.9999400003,-35.8498207509,-39.5998020010
5485255844,5952,-2,0,5.7637207031,-1.0455566406,-8.0223144531,-0.8536585366,1.5548780488,-1.2804878049,11.9999400003,-35.8498207509,-39.5998020010
5485314934,5953,-2,0,5.8187500000,-1.0766601563,-8.0653808594,-0.2743902439,2.1646341463,-1.6158536585,11.9999400003,-35.8498207509,-39.5998020010
5485320901,5954,-2,0,5.8043945313,-1.1675781250,-8.0055664063,-0.8841463415,2.2256097561,-1.9207317073,10.9499452503,-36.4498177509,-39.8998005010
5485359635,5955,-2,0,5.8498535156,-1.1723632813,-7.9098632813,-1.6768292683,2.0121951220,-2.8048780488,10.9499452503,-36.4498177509,-39.8998005010
5485382828,5956,-2,0,5.8761718750,-1.0000976563,-7.9672851563,-0.9451219512,2.1036585366,-1.5243902439,10.9499452503,-36.4498177509,-39.8998005010
5485412009,5957,-2,0,5.9000976563,-1.0000976563,-7.9457519531,-0.4878048780,2.1341463415,-1.2195121951,11.5499422503,-36.2998185009,-40.0497997510
5485440490,5958,-2,0,5.9240234375,-1.0335937500,-7.9170410156,-0.7317073171,1.7682926829,-0.7621951220,11.5499422503,-36.2998185009,-40.0497997510
5485475944,5959,-2,0,5.9599121094,-1.0407714844,-7.8979003906,-1.0365853659,1.2804878049,0.2743902439,11.5499422503,-36.2998185009,-40.0497997510
5485503566,5960,-2,0,5.9670898438,-1.0383789063,-7.8787597656,-1.2195121951,0.5487804878,0.7621951220,11.5499422503,-36.2998185009,-40.0497997510
5485534717,5961,-2,0,5.9192382813,-1.0264160156,-7.8979003906,-1.1280487805,-0.1829268293,0.6097560976,10.9499452503,-35.2498237509,-39.4498027510
5485590364,5962,-2,0,5.8211425781,-1.0407714844,-7.9553222656,-0.6707317073,0.5182926829,0.1219512195,10.9499452503,-35.2498237509,-39.4498027510
5485608579,5963,-2,0,5.8307128906,-1.0503417969,-7.9792480469,-0.4878048780,1.1890243902,0.1219512195,10.9499452503,-35.2498237509,-39.4498027510
5485630858,5964,-2,0,5.8737792969,-1.0790527344,-7.9768554688,-0.5487804878,1.0975609756,-0.2439024390,11.6999415003,-34.9498252509,-39.1498042510
5485660008,5965,-2,0,5.8618164063,-1.1149414063,-7.9266113281,-0.7621951220,0.4573170732,-0.0609756098,11.6999415003,-34.9498252509,-39.1498042510
5485704381,5966,-2,0,5.7900390625,-1.1221191406,-7.9601074219,-0.9451219512,0.4878048780,-0.2134146341,11.6999415003,-34.9498252509,-39.1498042510
5485723592,5967,-2,0,5.8163574219,-1.0862304688,-7.9433593750,-0.7621951220,0.9451219512,0.0304878049,10.6499467503,-34.1998290009,-40.1997990010
5485755609,5968,1,0,5.8139648438,-1.1149414063,-7.9481445313,-0.7621951220,1.3109756098,0.2439024390,10.6499467503,-34.1998290009,-40.1997990010
