steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
5504135954,6383,4,4,4,4,4,4,4,4,4,4
5504154617,6384,4,4,4,4,4,4,4,4,4,4
5504184498,6385,4,4,4,4,4,4,4,4,4,4
5504220733,6386,4,4,4,4,4,4,4,4,4,4
5504254593,6387,4,4,4,4,4,4,4,4,4,4
5504286005,6388,4,4,4,4,4,4,4,4,4,4
5504314789,6389,4,4,4,4,4,4,4,4,4,4
5504387494,6390,4,4,4,4,4,4,4,4,4,4
5504393321,6391,4,4,4,4,4,4,4,4,4,4
5504410488,6392,4,4,4,4,4,4,4,4,4,4
5504448245,6393,4,4,4,4,4,4,4,4,4,4
5504488208,6394,4,4,4,4,4,4,4,4,4,4
5504505956,6395,4,4,4,4,4,4,4,4,4,4
5504528804,6396,4,4,4,4,4,4,4,4,4,4
5504560852,6397,4,4,4,4,4,4,4,4,4,4
5504606386,6398,4,4,4,4,4,4,4,4,4,4
5504632194,6399,4,4,4,4,4,4,4,4,4,4
5504654668,6400,4,4,4,4,4,4,4,4,4,4
5504686211,6401,4,4,4,4,4,4,4,4,4,4
5504734665,6402,4,4,4,4,4,4,4,4,4,4
5504765980,6403,4,4,4,4,4,4,4,4,4,4
5504778333,6404,4,4,4,4,4,4,4,4,4,4
5504807868,6405,4,4,4,4,4,4,4,4,4,4
5504869862,6406,4,4,4,4,4,4,4,4,4,4
5504876179,6407,4,4,4,4,4,4,4,4,4,4
5504906392,6408,4,4,4,4,4,4,4,4,4,4
5504930440,6409,4,4,4,4,4,4,4,4,4,4
5504968499,6410,4,4,4,4,4,4,4,4,4,4
5505010878,6411,4,4,4,4,4,4,4,4,4,4
5505033621,6412,4,4,4,4,4,4,4,4,4,4
5505077507,6413,4,4,4,4,4,4,4,4,4,4
5505087884,6414,4,4,4,4,4,4,4,4,4,4
5505126202,6415,4,4,4,4,4,4,4,4,4,4
5505160914,6416,4,4,4,4,4,4,4,4,4,4
5505199806,6417,4,4,4,4,4,4,4,4,4,4
5505217946,6418,4,4,4,4,4,4,4,4,4,4
5505251006,6419,4,4,4,4,4,4,4,4,4,4
5505280919,6420,4,4,4,4,4,4,4,4,4,4
5505316424,6421,4,4,4,4,4,4,4,4,4,4
5505360072,6422,4,4,4,4,4,4,4,4,4,4
5505374586,6423,4,4,4,4,4,4,4,4,4,4
5505406014,6424,4,4,4,4,4,4,4,4,4,4
5505438380,6425,4,4,4,4,4,4,4,4,4,4
5505465464,6426,4,4,4,4,4,4,4,4,4,4
5505502074,6427,4,4,4,4,4,4,4,4,4,4
5505570862,6428,4,4,4,4,4,4,4,4,4,4
5505575852,6429,4,4,4,4,4,4,4,4,4,4
5505602246,6430,4,4,4,4,4,4,4,4,4,4
5505664615,6431,4,4,4,4,4,4,4,4,4,4
5505670775,6432,4,4,4,4,4,4,4,4,4,4
5505689556,6433,4,4,4,4,4,4,4,4,4,4
5505719710,6434,4,4,4,4,4,4,4,4,4,4
5505750230,6435,4,4,4,4,4,4,4,4,4,4
5505786149,6436,4,4,4,4,4,4,4,4,4,4
5505812365,6437,4,4,4,4,4,4,4,4,4,4
5505843506,6438,4,4,4,4,4,4,4,4,4,4
5505900653,6439,4,4,4,4,4,4,4,4,4,4
5505912357,6440,4,4,4,4,4,4,4,4,4,4
5505940951,6441,4,4,4,4,4,4,4,4,4,4
5505980858,6442,4,4,4,4,4,4,4,4,4,4
5506020375,6443,4,4,4,4,4,4,4,4,4,4
5506030234,6444,4,4,4,4,4,4,4,4,4,4
5506061738,6445,4,4,4,4,4,4,4,4,4,4
5506098723,6446,4,4,4,4,4,4,4,4,4,4
5506139000,6447,4,4,4,4,4,4,4,4,4,4
5506162238,6448,4,4,4,4,4,4,4,4,4,4
5506186375,6449,4,4,4,4,4,4,4,4,4,4
5506216222,6450,4,4,4,4,4,4,4,4,4,4
5506293651,6451,4,4,4,4,4,4,4,4,4,4
5506299211,6452,4,4,4,4,4,4,4,4,4,4
5506316422,6453,4,4,4,4,4,4,4,4,4,4
5506344609,6454,4,4,4,4,4,4,4,4,4,4
5506384724,6455,4,4,4,4,4,4,4,4,4,4
5506403582,6456,4,4,4,4,4,4,4,4,4,4
5506436356,6457,4,4,4,4,4,4,4,4,4,4
5506468543,6458,4,4,4,4,4,4,4,4,4,4
5506497495,6459,4,4,4,4,4,4,4,4,4,4
5506531025,6460,4,4,4,4,4,4,4,4,4,4
5506563536,6461,4,4,4,4,4,4,4,4,4,4
5506621447,6462,4,4,4,4,4,4,4,4,4,4
5506628384,6463,4,4,4,4,4,4,4,4,4,4
5506659660,6464,4,4,4,4,4,4,4,4,4,4
5506689817,6465,4,4,4,4,4,4,4,4,4,4
5506739880,6466,4,4,4,4,4,4,4,4,4,4
5506749923,6467,4,4,4,4,4,4,4,4,4,4
5506782420,6468,4,4,4,4,4,4,4,4,4,4
5506814604,6469,4,4,4,4,4,4,4,4,4,4
5506848646,6470,4,4,4,4,4,4,4,4,4,4
5506876437,6471,4,4,4,4,4,4,4,4,4,4
5506928477,6472,4,4,4,4,4,4,4,4,4,4
5506933732,6473,4,4,4,4,4,4,4,4,4,4
5506974827,6474,4,4,4,4,4,4,4,4,4,4
5507008721,6475,4,4,4,4,4,4,4,4,4,4
5507028329,6476,4,4,4,4,4,4,4,4,4,4
5507078468,6477,4,4,4,4,4,4,4,4,4,4
5507100095,6478,4,4,4,4,4,4,4,4,4,4
5507128650,6479,4,4,4,4,4,4,4,4,4,4
5507156245,6480,4,4,4,4,4,4,4,4,4,4
5507208500,6481,4,4,4,4,4,4,4,4,4,4
5507213938,6482,4,4,4,4,4,4,4,4,4,4
5507247480,6483,4,4,4,4,4,4,4,4,4,4
5507279717,6484,4,4,4,4,4,4,4,4,4,4
5507323548,6485,4,4,4,4,4,4,4,4,4,4
5507339614,6486,4,4,4,4,4,4,4,4,4,4
5507390799,6487,4,4,4,4,4,4,4,4,4,4
5507413533,6488,4,4,4,4,4,4,4,4,4,4
5507445994,6489,4,4,4,4,4,4,4,4,4,4
5507464877,6490,4,4,4,4,4,4,4,4,4,4
5507501308,6491,4,4,4,4,4,4,4,4,4,4
5507532385,6492,4,4,4,4,4,4,4,4,4,4
5507588866,6493,4,4,4,4,4,4,4,4,4,4
5507597373,6494,4,4,4,4,4,4,4,4,4,4
5507625412,6495,4,4,4,4,4,4,4,4,4,4
5507674878,6496,4,4,4,4,4,4,4,4,4,4
5507688570,6497,4,4,4,4,4,4,4,4,4,4
5507721474,6498,4,4,4,4,4,4,4,4,4,4
5507759786,6499,4,4,4,4,4,4,4,4,4,4
5507806066,6500,4,4,4,4,4,4,4,4,4,4
5507818581,6501,4,4,4,4,4,4,4,4,4,4
5507845937,6502,4,4,4,4,4,4,4,4,4,4
5507873598,6503,4,4,4,4,4,4,4,4,4,4
5507923687,6504,4,4,4,4,4,4,4,4,4,4
5507943486,6505,4,4,4,4,4,4,4,4,4,4
5507971331,6506,4,4,4,4,4,4,4,4,4,4
5508004949,6507,4,4,4,4,4,4,4,4,4,4
5508042113,6508,4,4,4,4,4,4,4,4,4,4
5508061430,6509,4,4,4,4,4,4,4,4,4,4
5508093560,6510,4,4,4,4,4,4,4,4,4,4
5508148893,6511,4,4,4,4,4,4,4,4,4,4
5508155449,6512,4,4,4,4,4,4,4,4,4,4
