steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
5454646812,5496,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
5454689444,5497,-2,0,5.0842285156,-1.7178710938,-8.3357421875,-0.5792682927,2.7439024390,-2.1646341463,13.1999340003,-32.5498372508,-37.6498117509
5454718244,5498,-2,0,5.1296875000,-1.3996582031,-8.2950683594,-0.4268292683,1.6158536585,1.0365853659,13.6499317503,-34.1998290009,-37.9498102509
5454757157,5499,-2,0,5.2086425781,-1.4546875000,-8.4266601563,-0.6097560976,0.7317073171,1.0365853659,13.6499317503,-34.1998290009,-37.9498102509
5454783362,5500,-2,0,5.1081542969,-1.4738281250,-8.4194824219,-1.5243902439,0.5487804878,0.0304878049,13.6499317503,-34.1998290009,-37.9498102509
5454810458,5501,-2,0,5.2038574219,-1.3541992188,-8.4242675781,-1.4634146341,0.7317073171,-0.5792682927,13.0499347503,-34.3498282509,-39.5998020010
5454843263,5502,-2,0,5.2038574219,-1.3541992188,-8.4242675781,-0.6707317073,0.7317073171,0.5792682927,13.0499347503,-34.3498282509,-39.5998020010
5454880763,5503,-2,0,5.1799316406,-1.3661621094,-8.4697265625,-0.4573170732,0.3658536585,1.4024390244,13.0499347503,-34.3498282509,-39.5998020010
5454901778,5504,-2,0,5.1464355469,-1.4618652344,-8.4434082031,-1.3109756098,0.3048780488,0.8841463415,14.2499287504,-34.7998260009,-37.7998110009
5454929457,5505,-2,0,5.0818359375,-1.4929687500,-8.4075195313,-1.6158536585,0.0609756098,0.3048780488,14.2499287504,-34.7998260009,-37.7998110009
5454988304,5506,-2,0,5.0650878906,-1.4259765625,-8.4721191406,-0.9451219512,0.0304878049,-0.6097560976,14.2499287504,-34.7998260009,-37.7998110009
5455004655,5507,-2,0,4.9980957031,-1.4164062500,-8.5438964844,-0.1524390244,0.6097560976,-1.6463414634,12.2999385003,-35.0998245009,-38.2498087510
5455035285,5508,-2,0,4.9861328125,-1.4307617188,-8.4792968750,-0.1524390244,1.3719512195,-2.5609756098,12.2999385003,-35.0998245009,-38.2498087510
5455086036,5509,-2,0,5.0770507813,-1.4810058594,-8.4529785156,-0.7317073171,1.6463414634,-3.1097560976,12.2999385003,-35.0998245009,-38.2498087510
5455113522,5510,-2,0,5.0914062500,-1.3805175781,-8.4769042969,-0.6097560976,1.8902439024,-1.6158536585,13.4999325003,-34.7998260009,-40.0497997510
5455132165,5511,-2,0,5.1105468750,-1.3948730469,-8.4290527344,-0.8231707317,2.0731707317,-0.8231707317,13.4999325003,-34.7998260009,-40.0497997510
5455153314,5512,-2,0,5.0722656250,-1.4379394531,-8.4792968750,-1.2500000000,2.2865853659,-0.7012195122,13.4999325003,-34.7998260009,-40.0497997510
5455187039,5513,-2,0,5.0770507813,-1.3853027344,-8.4625488281,-1.0365853659,2.6829268293,-0.2134146341,11.9999400003,-33.1498342508,-38.9998050010
5455236237,5514,-2,0,5.1201171875,-1.4116210938,-8.3716308594,-1.1890243902,2.7743902439,-0.3658536585,11.9999400003,-33.1498342508,-38.9998050010
5455253485,5515,-2,0,5.1847167969,-1.3781250000,-8.3883789063,-0.5487804878,2.3475609756,-0.5182926829,11.9999400003,-33.1498342508,-38.9998050010
5455282364,5516,-2,0,5.1751464844,-1.3661621094,-8.3955566406,-0.1829268293,1.9512195122,-0.7621951220,13.7999310003,-33.8998305008,-38.2498087510
5455306022,5517,-2,0,5.2014648438,-1.4020507813,-8.3859863281,0.1829268293,1.5243902439,-0.6097560976,13.7999310003,-33.8998305008,-38.2498087510
5455345692,5518,-2,0,5.2038574219,-1.4738281250,-8.3716308594,-0.4268292683,1.2195121951,-0.7012195122,13.7999310003,-33.8998305008,-38.2498087510
5455378455,5519,-2,0,5.1990722656,-1.4786132813,-8.3500976563,-1.0060975610,0.5182926829,-0.7317073171,13.7999310003,-33.8998305008,-38.2498087510
5455408338,5520,-2,0,5.1320800781,-1.4211914063,-8.3812011719,-1.3719512195,0.8231707317,-0.4268292683,13.7999310003,-35.5498222509,-40.7997960010
5455437433,5521,-2,0,5.1607910156,-1.3900878906,-8.3668457031,-0.7926829268,0.7926829268,-0.1219512195,13.7999310003,-35.5498222509,-40.7997960010
5455464469,5522,-2,0,5.1320800781,-1.4427246094,-8.3835937500,-1.0975609756,0.7012195122,-0.9146341463,13.7999310003,-35.5498222509,-40.7997960010
5455501259,5523,-2,0,5.1871093750,-1.4020507813,-8.4027343750,-1.1585365854,0.5182926829,-0.6707317073,12.7499362503,-33.5998320008,-37.7998110009
5455527495,5524,-2,0,5.1775390625,-1.3924804688,-8.3716308594,-0.6707317073,0.3048780488,0.1524390244,12.7499362503,-33.5998320008,-37.7998110009
5455554403,5525,-2,0,5.1105468750,-1.4403320313,-8.4027343750,-0.9146341463,-0.0304878049,0.0609756098,12.7499362503,-33.5998320008,-37.7998110009
5455584136,5526,-2,0,5.0339843750,-1.4714355469,-8.3883789063,-1.2804878049,0.0000000000,-0.7621951220,13.6499317503,-34.1998290009,-40.1997990010
5455640718,5527,1,0,5.0268066406,-1.3853027344,-8.4146972656,-1.2804878049,0.1219512195,-1.3414634146,13.6499317503,-34.1998290009,-40.1997990010
5455657341,5528,1,0,5.0531250000,-1.3470214844,-8.4936523438,-0.5487804878,0.7621951220,-1.7682926829,13.6499317503,-34.1998290009,-40.1997990010
5455736466,5529,1,0,4.9526367188,-1.3733398438,-8.4721191406,0.2439024390,1.1585365854,-2.1341463415,13.6499317503,-34.1998290009,-40.1997990010
5455741878,5530,1,0,5.1153320313,-1.4164062500,-8.3955566406,0.0000000000,1.7682926829,-2.1341463415,13.6499317503,-34.1998290009,-40.1997990010
5455749482,5531,1,0,5.0483398438,-1.3613769531,-8.4218750000,0.3353658537,2.0731707317,-1.2195121951,13.6499317503,-34.1998290009,-40.1997990010
5455780657,5532,1,0,5.1488281250,-1.3829101563,-8.4099121094,0.2134146341,2.9573170732,-0.5487804878,12.4499377503,-33.7498312508,-39.4498027510
5455825810,5533,1,0,5.0985839844,-1.3972656250,-8.3381347656,0.2743902439,3.7195121951,-0.4878048780,12.4499377503,-33.7498312508,-39.4498027510
5455851032,5534,1,0,5.1560058594,-1.4427246094,-8.3477050781,0.1524390244,3.9329268293,-0.0914634146,12.4499377503,-33.7498312508,-39.4498027510
5455875524,5535,1,0,5.1799316406,-1.4762207031,-8.3285644531,-0.9756097561,2.3170731707,0.4573170732,12.4499377503,-33.7498312508,-39.4498027510
5455908290,5536,1,0,5.2110351563,-1.4905761719,-8.2878906250,-1.3719512195,1.8902439024,0.6707317073,12.4499377503,-33.7498312508,-39.4498027510
5455941242,5537,1,0,5.1847167969,-1.4953613281,-8.3189941406,-1.4939024390,1.7987804878,0.7012195122,12.4499377503,-33.7498312508,-39.4498027510
5455969634,5538,1,0,5.2062500000,-1.4714355469,-8.3022460938,-1.7378048780,0.5182926829,0.4878048780,13.4999325003,-33.8998305008,-37.0498147509
5456023110,5539,1,0,5.2253906250,-1.4738281250,-8.2735351563,-1.6463414634,-0.3658536585,-0.4268292683,13.4999325003,-33.8998305008,-37.0498147509
5456054348,5540,1,0,5.1225097656,-1.4427246094,-8.3381347656,-1.1280487805,-0.2134146341,-0.9146341463,13.4999325003,-33.8998305008,-37.0498147509
5456066528,5541,1,0,5.1105468750,-1.4283691406,-8.3812011719,-0.8841463415,0.1524390244,-1.4024390244,13.4999325003,-33.8998305008,-37.0498147509
5456088472,5542,1,0,5.0914062500,-1.4546875000,-8.3620605469,-1.1280487805,0.5487804878,-2.1951219512,13.4999325003,-33.8998305008,-37.0498147509
5456121035,5543,1,0,5.1105468750,-1.3589843750,-8.3931640625,-0.6707317073,0.6402439024,-1.3719512195,13.4999325003,-33.8998305008,-37.0498147509
5456181322,5544,1,0,5.1679687500,-1.3111328125,-8.4003417969,0.0000000000,0.3048780488,0.2439024390,13.4999325003,-33.8998305008,-37.0498147509
5456187436,5545,1,0,5.1153320313,-1.4235839844,-8.4123046875,-0.3963414634,0.0914634146,0.9451219512,13.1999340003,-34.1998290009,-37.9498102509
5456216041,5546,1,0,5.0004882813,-1.4833984375,-8.3716308594,-1.0975609756,0.5487804878,0.5792682927,13.1999340003,-34.1998290009,-37.9498102509
5456244990,5547,1,0,5.0411621094,-1.4642578125,-8.4027343750,-1.0975609756,1.0365853659,0.5487804878,13.1999340003,-34.1998290009,-37.9498102509
5456294357,5548,1,0,5.0603027344,-1.4235839844,-8.4601562500,-0.5182926829,1.1890243902,0.2439024390,13.1999340003,-34.1998290009,-37.9498102509
5456312092,5549,1,0,5.0698730469,-1.4786132813,-8.4099121094,-0.4573170732,1.4329268293,-0.3353658537,13.1999340003,-34.1998290009,-37.9498102509
5456363526,5550,1,0,5.1177246094,-1.5408203125,-8.3835937500,-1.1585365854,1.4939024390,-1.4634146341,13.1999340003,-34.1998290009,-37.9498102509
5456370863,5551,1,0,5.0555175781,-1.4475097656,-8.3907714844,-0.9146341463,2.1341463415,-1.1585365854,11.9999400003,-33.8998305008,-40.0497997510
5456425897,5552,1,0,5.1775390625,-1.4235839844,-8.3405273438,-0.6707317073,2.2560975610,-0.8536585366,11.9999400003,-33.8998305008,-40.0497997510
5456462583,5553,1,0,5.0914062500,-1.4594726563,-8.3596679688,-0.7926829268,2.0121951220,-1.4634146341,11.9999400003,-33.8998305008,-40.0497997510
5456467008,5554,1,0,5.1105468750,-1.4283691406,-8.3764160156,-0.7926829268,2.4085365854,-0.7317073171,11.9999400003,-33.8998305008,-40.0497997510
5456488448,5555,1,0,5.1871093750,-1.4164062500,-8.2998535156,-1.0060975610,2.4695121951,0.1524390244,11.9999400003,-33.8998305008,-40.0497997510
5456540469,5556,1,0,5.2349609375,-1.4283691406,-8.2783203125,-1.3414634146,1.3109756098,0.3048780488,11.9999400003,-33.8998305008,-40.0497997510
5456559390,5557,1,0,5.1895019531,-1.4020507813,-8.3118164063,-1.2195121951,0.5792682927,0.3353658537,12.8999355003,-32.9998350008,-38.6998065010
5456591882,5558,1,0,5.1368652344,-1.4187988281,-8.3237792969,-0.9146341463,0.9451219512,1.2500000000,12.8999355003,-32.9998350008,-38.6998065010
5456655220,5559,0,0,5.1177246094,-1.5001464844,-8.3261718750,-0.9756097561,1.7378048780,2.0426829268,12.8999355003,-32.9998350008,-38.6998065010
5456659475,5560,0,0,5.2349609375,-1.5647460938,-8.3285644531,-1.6768292683,1.5243902439,2.2865853659,12.8999355003,-32.9998350008,-38.6998065010
5456691259,5561,0,0,5.2134277344,-1.5719238281,-8.2687500000,-2.5000000000,0.0914634146,1.9512195122,12.8999355003,-32.9998350008,-38.6998065010
5456720861,5562,0,0,5.0961914063,-1.5479980469,-8.3524902344,-2.6219512195,-0.7926829268,1.4024390244,12.8999355003,-32.9998350008,-38.6998065010
5456763505,5563,0,0,4.9980957031,-1.5025390625,-8.3596679688,-2.5914634146,-0.3658536585,-0.3353658537,12.4499377503,-34.9498252509,-40.6497967510
5456783394,5564,0,0,5.1392578125,-1.4235839844,-8.3716308594,-1.8902439024,-0.8231707317,-1.6768292683,12.4499377503,-34.9498252509,-40.6497967510
5456805294,5565,0,0,5.0052734375,-1.3565917969,-8.4386230469,-1.0975609756,-1.6463414634,-3.3841463415,12.4499377503,-34.9498252509,-40.6497967510
5456848554,5566,0,0,4.9191406250,-1.3494140625,-8.4984375000,0.0304878049,-1.1280487805,-4.9390243902,12.4499377503,-34.9498252509,-40.6497967510
5456883443,5567,0,0,4.9143554688,-1.3446289063,-8.4721191406,0.6402439024,-0.4268292683,-6.6158536585,12.4499377503,-34.9498252509,-40.6497967510
5456899935,5568,0,0,4.9933105469,-1.3302734375,-8.4218750000,0.7317073171,0.4268292683,-7.3475609756,12.4499377503,-34.9498252509,-40.6497967510
5456933680,5569,0,0,5.1057617188,-1.2632812500,-8.4481933594,0.9756097561,0.4573170732,-6.6463414634,12.4499377503,-34.9498252509,-40.6497967510
5456969324,5570,0,0,5.1033691406,-1.3230957031,-8.3883789063,1.3109756098,0.2134146341,-3.6890243902,13.4999325003,-35.0998245009,-39.5998020010
5457039490,5571,0,0,5.1440429688,-1.4116210938,-8.3285644531,0.2134146341,1.0975609756,-1.6158536585,13.4999325003,-35.0998245009,-39.5998020010
5457044172,5572,0,0,5.2086425781,-1.3207031250,-8.3907714844,-0.2439024390,0.9146341463,0.5487804878,13.4999325003,-35.0998245009,-39.5998020010
5457062166,5573,0,0,5.0937988281,-1.4738281250,-8.3812011719,0.0000000000,0.7621951220,1.0365853659,13.0499347503,-34.3498282509,-37.7998110009
5457113137,5574,0,0,5.0339843750,-1.5073242188,-8.3644531250,-0.5792682927,1.1280487805,-0.9451219512,13.0499347503,-34.3498282509,-37.7998110009
5457144909,5575,0,0,5.1249023438,-1.4451171875,-8.3644531250,-0.6707317073,0.1219512195,0.4268292683,13.0499347503,-34.3498282509,-37.7998110009
5457152469,5576,0,0,5.0674804688,-1.4451171875,-8.4003417969,-1.1280487805,-0.3048780488,1.1585365854,13.0499347503,-34.7998260009,-37.7998110009
5457183302,5577,0,0,4.9741699219,-1.4379394531,-8.4123046875,-1.2195121951,0.3963414634,1.9817073171,13.0499347503,-34.7998260009,-37.7998110009
5457210631,5578,0,0,4.9334960938,-1.4427246094,-8.4792968750,-0.9756097561,1.0975609756,2.7439024390,13.0499347503,-34.7998260009,-37.7998110009
5457250931,5579,0,0,4.9717773438,-1.4690429688,-8.4697265625,-1.0975609756,1.5548780488,3.2012195122,13.4999325003,-33.8998305008,-39.2998035010
5457291636,5580,0,0,4.9789550781,-1.5145019531,-8.4314453125,-1.4024390244,1.7378048780,3.7500000000,13.4999325003,-33.8998305008,-39.2998035010
5457320044,5581,0,0,4.9980957031,-1.5288574219,-8.4218750000,-1.3109756098,1.6158536585,3.7195121951,13.4999325003,-33.8998305008,-39.2998035010
5457370744,5582,0,0,4.9813476563,-1.5623535156,-8.4505859375,-1.2500000000,1.2804878049,3.5670731707,14.5499272504,-33.8998305008,-38.9998050010
5457382409,5583,0,0,5.0028808594,-1.6197753906,-8.4218750000,-1.5853658537,1.1890243902,2.0121951220,14.5499272504,-33.8998305008,-38.9998050010
5457408685,5584,0,0,4.9191406250,-1.6197753906,-8.4027343750,-1.9817073171,1.3414634146,-0.1524390244,14.5499272504,-33.8998305008,-38.9998050010
