steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
5463502340,5710,4,4,4,4,4,4,4,4,4,4
5463543057,5711,4,4,4,4,4,4,4,4,4,4
5463588109,5712,4,4,4,4,4,4,4,4,4,4
5463614227,5713,4,4,4,4,4,4,4,4,4,4
5463635845,5714,4,4,4,4,4,4,4,4,4,4
5463660736,5715,4,4,4,4,4,4,4,4,4,4
5463690652,5716,4,4,4,4,4,4,4,4,4,4
5463734219,5717,4,4,4,4,4,4,4,4,4,4
5463756474,5718,4,4,4,4,4,4,4,4,4,4
5463795410,5719,4,4,4,4,4,4,4,4,4,4
5463816914,5720,4,4,4,4,4,4,4,4,4,4
5463861142,5721,4,4,4,4,4,4,4,4,4,4
5463882453,5722,4,4,4,4,4,4,4,4,4,4
5463911100,5723,4,4,4,4,4,4,4,4,4,4
5463939659,5724,4,4,4,4,4,4,4,4,4,4
5463978891,5725,4,4,4,4,4,4,4,4,4,4
5464004490,5726,4,4,4,4,4,4,4,4,4,4
5464044480,5727,4,4,4,4,4,4,4,4,4,4
5464085787,5728,4,4,4,4,4,4,4,4,4,4
5464108217,5729,4,4,4,4,4,4,4,4,4,4
5464130831,5730,4,4,4,4,4,4,4,4,4,4
5464157452,5731,4,4,4,4,4,4,4,4,4,4
5464212260,5732,4,4,4,4,4,4,4,4,4,4
5464224686,5733,4,4,4,4,4,4,4,4,4,4
5464255798,5734,4,4,4,4,4,4,4,4,4,4
5464283641,5735,4,4,4,4,4,4,4,4,4,4
5464338194,5736,4,4,4,4,4,4,4,4,4,4
5464352143,5737,4,4,4,4,4,4,4,4,4,4
5464383386,5738,4,4,4,4,4,4,4,4,4,4
5464411624,5739,4,4,4,4,4,4,4,4,4,4
5464448167,5740,4,4,4,4,4,4,4,4,4,4
5464476002,5741,4,4,4,4,4,4,4,4,4,4
5464508040,5742,4,4,4,4,4,4,4,4,4,4
5464557117,5743,4,4,4,4,4,4,4,4,4,4
5464578285,5744,4,4,4,4,4,4,4,4,4,4
5464598582,5745,4,4,4,4,4,4,4,4,4,4
5464628208,5746,4,4,4,4,4,4,4,4,4,4
5464711969,5747,4,4,4,4,4,4,4,4,4,4
5464720174,5748,4,4,4,4,4,4,4,4,4,4
5464729427,5749,4,4,4,4,4,4,4,4,4,4
5464755680,5750,4,4,4,4,4,4,4,4,4,4
5464810786,5751,4,4,4,4,4,4,4,4,4,4
5464817014,5752,4,4,4,4,4,4,4,4,4,4
5464848207,5753,4,4,4,4,4,4,4,4,4,4
5464876948,5754,4,4,4,4,4,4,4,4,4,4
5464923302,5755,4,4,4,4,4,4,4,4,4,4
5464949441,5756,4,4,4,4,4,4,4,4,4,4
5464973534,5757,4,4,4,4,4,4,4,4,4,4
5465033433,5758,4,4,4,4,4,4,4,4,4,4
5465040827,5759,4,4,4,4,4,4,4,4,4,4
5465068143,5760,4,4,4,4,4,4,4,4,4,4
5465119950,5761,4,4,4,4,4,4,4,4,4,4
5465153873,5762,4,4,4,4,4,4,4,4,4,4
5465163307,5763,4,4,4,4,4,4,4,4,4,4
5465193485,5764,4,4,4,4,4,4,4,4,4,4
5465230038,5765,4,4,4,4,4,4,4,4,4,4
5465269642,5766,4,4,4,4,4,4,4,4,4,4
5465289467,5767,4,4,4,4,4,4,4,4,4,4
5465326914,5768,4,4,4,4,4,4,4,4,4,4
