steady_timestamp,sequence,battery,flags,TMS-ch1
1397148026,12039,-2,0,32169.0000000000
1397198136,12040,-2,0,63420.0000000000
1397206599,12041,-2,0,94671.0000000000
1397235366,12042,-2,0,125922.0000000000
1397266715,12043,-2,0,157173.0000000000
1397312934,12044,-2,0,188424.0000000000
1397336602,12045,-2,0,219674.0000000000
1397361622,12046,-2,0,250926.0000000000
1397392875,12047,-2,0,282177.0000000000
1397431464,12048,-2,0,313428.0000000000
1397452723,12049,-2,0,344679.0000000000
1397486548,12050,-2,0,375930.0000000000
1397516464,12051,-2,0,407181.0000000000
1397554543,12052,-2,0,438432.0000000000
1397583174,12053,-2,0,469682.0000000000
1397615572,12054,-2,0,500934.0000000000
1397658550,12055,-2,0,532185.0000000000
1397704418,12056,-2,0,563436.0000000000
1397716744,12057,-2,0,594687.0000000000
1397733019,12058,-2,0,625938.0000000000
1397788192,12059,-2,0,657189.0000000000
1397802119,12060,-2,0,688440.0000000000
1397831946,12061,-2,0,719691.0000000000
1397863139,12062,-2,0,750942.0000000000
1397902847,12063,-2,0,782193.0000000000
1397928289,12064,-2,0,813444.0000000000
1397947679,12065,-2,0,844695.0000000000
1397984356,12066,-2,0,875946.0000000000
1398021641,12067,-2,0,907197.0000000000
1398055461,12068,-2,0,938448.0000000000
1398091218,12069,-2,0,969698.0000000000
1398133201,12070,4,0,1000950.0000000000
1398146853,12071,4,0,1032201.0000000000
1398181815,12072,4,0,1063452.0000000000
1398208591,12073,4,0,1094703.0000000000
1398259360,12074,4,0,1125954.0000000000
1398269252,12075,4,0,1157205.0000000000
1398296813,12076,4,0,1188456.0000000000
1398329617,12077,4,0,1219706.0000000000
1398377787,12078,4,0,1250958.0000000000
1398395435,12079,4,0,1282209.0000000000
1398422927,12080,4,0,1313460.0000000000
1398456860,12081,4,0,1344711.0000000000
1398496645,12082,4,0,1375962.0000000000
1398524265,12083,4,0,1407213.0000000000
1398549299,12084,4,0,1438464.0000000000
1398577892,12085,4,0,1469714.0000000000
1398619497,12086,4,0,1500966.0000000000
1398645574,12087,4,0,1532217.0000000000
1398676822,12088,4,0,1563468.0000000000
1398727353,12089,4,0,1594719.0000000000
1398736799,12090,4,0,1625970.0000000000
1398768113,12091,4,0,1657221.0000000000
1398801711,12092,4,0,1688472.0000000000
1398850453,12093,4,0,1719723.0000000000
1398864332,12094,4,0,1750974.0000000000
1398890848,12095,4,0,1782225.0000000000
1398926817,12096,4,0,1813476.0000000000
1398990828,12097,4,0,1844727.0000000000
1398995454,12098,4,0,1875978.0000000000
1399011719,12099,4,0,1907229.0000000000
1399050530,12100,4,0,1938480.0000000000
1399093212,12101,4,0,1969730.0000000000
1399115711,12102,4,0,2000982.0000000000
1399141266,12103,4,0,2032233.0000000000
1399196734,12104,4,0,2063484.0000000000
