steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
1421084410,12488,4,4,4,4,4,4,4,4,4,4
1421119121,12489,4,4,4,4,4,4,4,4,4,4
1421169282,12490,4,4,4,4,4,4,4,4,4,4
1421183038,12491,4,4,4,4,4,4,4,4,4,4
1421216161,12492,4,4,4,4,4,4,4,4,4,4
1421249268,12493,4,4,4,4,4,4,4,4,4,4
1421296693,12494,4,4,4,4,4,4,4,4,4,4
1421315546,12495,4,4,4,4,4,4,4,4,4,4
1421331568,12496,4,4,4,4,4,4,4,4,4,4
1421372641,12497,4,4,4,4,4,4,4,4,4,4
1421421865,12498,4,4,4,4,4,4,4,4,4,4
1421431753,12499,4,4,4,4,4,4,4,4,4,4
1421459656,12500,4,4,4,4,4,4,4,4,4,4
1421489015,12501,4,4,4,4,4,4,4,4,4,4
1421539457,12502,4,4,4,4,4,4,4,4,4,4
1421564760,12503,4,4,4,4,4,4,4,4,4,4
1421596819,12504,4,4,4,4,4,4,4,4,4,4
1421613792,12505,4,4,4,4,4,4,4,4,4,4
1421648131,12506,4,4,4,4,4,4,4,4,4,4
1421679415,12507,4,4,4,4,4,4,4,4,4,4
1421710843,12508,4,4,4,4,4,4,4,4,4,4
1421736821,12509,4,4,4,4,4,4,4,4,4,4
1421778089,12510,4,4,4,4,4,4,4,4,4,4
1421810746,12511,4,4,4,4,4,4,4,4,4,4
1421839501,12512,4,4,4,4,4,4,4,4,4,4
1421883804,12513,4,4,4,4,4,4,4,4,4,4
1421914796,12514,4,4,4,4,4,4,4,4,4,4
1421933144,12515,4,4,4,4,4,4,4,4,4,4
1421970750,12516,4,4,4,4,4,4,4,4,4,4
1422028360,12517,4,4,4,4,4,4,4,4,4,4
1422034076,12518,4,4,4,4,4,4,4,4,4,4
1422055836,12519,4,4,4,4,4,4,4,4,4,4
1422113825,12520,4,4,4,4,4,4,4,4,4,4
1422118076,12521,4,4,4,4,4,4,4,4,4,4
1422150034,12522,4,4,4,4,4,4,4,4,4,4
1422179244,12523,4,4,4,4,4,4,4,4,4,4
1422237991,12524,4,4,4,4,4,4,4,4,4,4
1422249303,12525,4,4,4,4,4,4,4,4,4,4
1422273136,12526,4,4,4,4,4,4,4,4,4,4
1422304746,12527,4,4,4,4,4,4,4,4,4,4
1422367019,12528,4,4,4,4,4,4,4,4,4,4
1422375800,12529,4,4,4,4,4,4,4,4,4,4
1422393370,12530,4,4,4,4,4,4,4,4,4,4
1422421649,12531,4,4,4,4,4,4,4,4,4,4
1422486958,12532,4,4,4,4,4,4,4,4,4,4
1422498235,12533,4,4,4,4,4,4,4,4,4,4
1422524601,12534,4,4,4,4,4,4,4,4,4,4
1422594651,12535,4,4,4,4,4,4,4,4,4,4
1422603089,12536,4,4,4,4,4,4,4,4,4,4
1422644805,12537,4,4,4,4,4,4,4,4,4,4
1422653307,12538,4,4,4,4,4,4,4,4,4,4
1422677717,12539,4,4,4,4,4,4,4,4,4,4
1422714752,12540,4,4,4,4,4,4,4,4,4,4
1422745862,12541,4,4,4,4,4,4,4,4,4,4
1422777072,12542,4,4,4,4,4,4,4,4,4,4
1422826001,12543,4,4,4,4,4,4,4,4,4,4
1422831739,12544,4,4,4,4,4,4,4,4,4,4
1422870680,12545,4,4,4,4,4,4,4,4,4,4
1422904503,12546,4,4,4,4,4,4,4,4,4,4
1422933215,12547,4,4,4,4,4,4,4,4,4,4
1422960999,12548,4,4,4,4,4,4,4,4,4,4
1422999287,12549,4,4,4,4,4,4,4,4,4,4
1423063445,12550,4,4,4,4,4,4,4,4,4,4
1423068014,12551,4,4,4,4,4,4,4,4,4,4
1423082992,12552,4,4,4,4,4,4,4,4,4,4
1423119569,12553,4,4,4,4,4,4,4,4,4,4
1423190705,12554,4,4,4,4,4,4,4,4,4,4
1423204538,12555,4,4,4,4,4,4,4,4,4,4
1423209281,12556,4,4,4,4,4,4,4,4,4,4
1423238065,12557,4,4,4,4,4,4,4,4,4,4
1423323320,12558,4,4,4,4,4,4,4,4,4,4
1423332038,12559,4,4,4,4,4,4,4,4,4,4
1423339355,12560,4,4,4,4,4,4,4,4,4,4
1423368763,12561,4,4,4,4,4,4,4,4,4,4
1423422129,12562,4,4,4,4,4,4,4,4,4,4
1423433354,12563,4,4,4,4,4,4,4,4,4,4
1423461406,12564,4,4,4,4,4,4,4,4,4,4
1423493640,12565,4,4,4,4,4,4,4,4,4,4
1423543731,12566,4,4,4,4,4,4,4,4,4,4
1423564695,12567,4,4,4,4,4,4,4,4,4,4
1423587084,12568,4,4,4,4,4,4,4,4,4,4
1423619875,12569,4,4,4,4,4,4,4,4,4,4
1423664771,12570,4,4,4,4,4,4,4,4,4,4
1423688201,12571,4,4,4,4,4,4,4,4,4,4
1423715969,12572,4,4,4,4,4,4,4,4,4,4
1423766630,12573,4,4,4,4,4,4,4,4,4,4
1423782775,12574,4,4,4,4,4,4,4,4,4,4
1423808134,12575,4,4,4,4,4,4,4,4,4,4
1423839452,12576,4,4,4,4,4,4,4,4,4,4
1423891863,12577,4,4,4,4,4,4,4,4,4,4
1423932730,12578,4,4,4,4,4,4,4,4,4,4
1423945779,12579,4,4,4,4,4,4,4,4,4,4
1423964972,12580,4,4,4,4,4,4,4,4,4,4
1424015980,12581,4,4,4,4,4,4,4,4,4,4
1424023704,12582,4,4,4,4,4,4,4,4,4,4
1424056674,12583,4,4,4,4,4,4,4,4,4,4
1424089468,12584,4,4,4,4,4,4,4,4,4,4
1424127450,12585,4,4,4,4,4,4,4,4,4,4
1424144705,12586,4,4,4,4,4,4,4,4,4,4
1424179233,12587,4,4,4,4,4,4,4,4,4,4
1424247384,12588,4,4,4,4,4,4,4,4,4,4
1424259656,12589,4,4,4,4,4,4,4,4,4,4
1424276620,12590,4,4,4,4,4,4,4,4,4,4
1424304625,12591,4,4,4,4,4,4,4,4,4,4
1424374827,12592,4,4,4,4,4,4,4,4,4,4
1424383673,12593,4,4,4,4,4,4,4,4,4,4
1424403770,12594,4,4,4,4,4,4,4,4,4,4
1424432831,12595,4,4,4,4,4,4,4,4,4,4
1424492098,12596,4,4,4,4,4,4,4,4,4,4
1424504533,12597,4,4,4,4,4,4,4,4,4,4
1424518827,12598,4,4,4,4,4,4,4,4,4,4
1424598160,12599,4,4,4,4,4,4,4,4,4,4
1424608241,12600,4,4,4,4,4,4,4,4,4,4
1424628206,12601,4,4,4,4,4,4,4,4,4,4
1424657151,12602,4,4,4,4,4,4,4,4,4,4
