steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
1369929123,11494,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1369966332,11495,-2,0,8.7329101563,-0.2177246094,-4.7085937500,-1.0365853659,2.7743902439,-0.1524390244,-26.2498687507,-17.3999130004,-32.9998350008
1369997858,11496,-2,0,8.7233398438,0.0933105469,-4.2229003906,-3.6280487805,-3.8719512195,0.3658536585,-25.4998725006,-16.1999190004,-33.4498327508
1370027776,11497,-2,0,8.6946289063,0.2009765625,-4.3855957031,-4.4207317073,-2.9268292683,0.7621951220,-25.4998725006,-16.1999190004,-33.4498327508
1370086713,11498,-2,0,8.7400878906,0.2703613281,-4.3999511719,-3.8414634146,-1.3414634146,0.4573170732,-25.4998725006,-16.1999190004,-33.4498327508
1370097857,11499,-2,0,8.7400878906,0.2703613281,-4.3999511719,-2.2256097561,-0.2134146341,-0.5487804878,-26.2498687507,-16.9499152504,-33.4498327508
1370116541,11500,-2,0,8.7999023438,0.2895019531,-4.4166992188,-0.3353658537,0.2439024390,-1.8292682927,-26.2498687507,-16.9499152504,-33.4498327508
1370204137,11501,-2,0,8.7951171875,0.3014648438,-4.4406250000,1.0670731707,0.6402439024,-1.5853658537,-26.2498687507,-16.9499152504,-33.4498327508
1370209843,11502,-2,0,8.8286132813,0.2775390625,-4.4262695313,1.5548780488,0.6402439024,-1.0060975610,-26.2498687507,-16.9499152504,-33.4498327508
1370213146,11503,-2,0,8.8333984375,0.2320800781,-4.3760253906,1.4329268293,0.1524390244,-0.6097560976,-26.2498687507,-16.9499152504,-33.4498327508
1370244032,11504,-2,0,8.8477539063,0.1459472656,-4.3808105469,0.2439024390,-0.5182926829,0.1524390244,-26.2498687507,-16.9499152504,-33.4498327508
1370274048,11505,-2,0,8.8405761719,0.1196289063,-4.3855957031,-0.8231707317,-0.4268292683,1.0670731707,-24.8998755006,-16.3499182504,-33.8998305008
1370318209,11506,-2,0,8.7616210938,0.1076660156,-4.3544921875,-1.8597560976,0.1219512195,1.3719512195,-24.8998755006,-16.3499182504,-33.8998305008
1370338930,11507,-2,0,8.7472656250,0.0980957031,-4.3927734375,-2.5609756098,0.4878048780,1.0060975610,-24.8998755006,-16.3499182504,-33.8998305008
1370369005,11508,-2,0,8.8046875000,0.1076660156,-4.4597656250,-2.4390243902,0.2134146341,0.1219512195,-24.8998755006,-16.3499182504,-33.8998305008
1370400223,11509,-2,0,8.6802734375,0.2249023438,-4.3975585938,-1.0975609756,1.6463414634,-0.8536585366,-24.8998755006,-16.3499182504,-33.8998305008
1370435600,11510,-2,0,8.7376953125,0.2057617188,-4.4190917969,0.1524390244,2.2865853659,-1.1280487805,-24.8998755006,-16.3499182504,-33.8998305008
1370462941,11511,-2,0,8.8453613281,0.1698730469,-4.4214843750,0.6402439024,2.2865853659,-1.1585365854,-25.1998740006,-17.0999145004,-32.5498372508
1370496659,11512,-2,0,8.7759765625,0.1507324219,-4.3162109375,0.5182926829,2.7743902439,-1.8292682927,-25.1998740006,-17.0999145004,-32.5498372508
1370555782,11513,-2,0,8.8094726563,0.1124511719,-4.3066406250,-0.1219512195,2.7134146341,-1.7682926829,-25.1998740006,-17.0999145004,-32.5498372508
1370573038,11514,-2,0,8.8740722656,0.1076660156,-4.2970703125,-0.7012195122,2.0121951220,-1.3109756098,-25.1998740006,-17.0999145004,-32.5498372508
1370587889,11515,-2,0,8.8525390625,0.1555175781,-4.2755371094,-1.3109756098,1.4939024390,-1.0975609756,-24.2998785006,-17.6999115004,-33.7498312508
1370626721,11516,-2,0,8.8262207031,0.1531250000,-4.2707519531,-1.4634146341,1.2195121951,-0.8536585366,-24.2998785006,-17.6999115004,-33.7498312508
1370674130,11517,-2,0,8.8405761719,0.1674804688,-4.3018554688,-1.3414634146,0.7621951220,-0.9146341463,-24.2998785006,-17.6999115004,-33.7498312508
1370688190,11518,-2,0,8.8310058594,0.2105468750,-4.3497070313,-0.9451219512,0.4268292683,-1.4329268293,-24.7498762506,-16.4999175004,-33.4498327508
1370710723,11519,-2,0,8.8357910156,0.2368652344,-4.3640625000,-0.3963414634,0.3353658537,-1.7378048780,-24.7498762506,-16.4999175004,-33.4498327508
1370736020,11520,-2,0,8.7496582031,0.2344726563,-4.3951660156,-0.0914634146,0.6707317073,-1.9207317073,-24.7498762506,-16.4999175004,-33.4498327508
1370823107,11521,-2,0,8.7496582031,0.2009765625,-4.3784179688,-0.0609756098,1.4634146341,-1.9512195122,-24.2998785006,-15.7499212504,-32.6998365008
1370831909,11522,-2,0,8.7999023438,0.2129394531,-4.3377441406,-0.3048780488,2.1341463415,-1.5853658537,-24.2998785006,-15.7499212504,-32.6998365008
1370837351,11523,-2,0,8.7664062500,0.2368652344,-4.3568847656,-0.2743902439,2.7743902439,-1.0365853659,-24.2998785006,-15.7499212504,-32.6998365008
1370868000,11524,-2,0,8.7951171875,0.2488281250,-4.3305664063,0.0304878049,3.2926829268,-0.9146341463,-25.9498702506,-15.8999205004,-32.5498372508
