steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
1389232888,11882,4,4,4,4,4,4,4,4,4,4
1389282836,11883,4,4,4,4,4,4,4,4,4,4
1389304099,11884,4,4,4,4,4,4,4,4,4,4
1389331579,11885,4,4,4,4,4,4,4,4,4,4
1389385469,11886,4,4,4,4,4,4,4,4,4,4
1389401762,11887,4,4,4,4,4,4,4,4,4,4
1389418794,11888,4,4,4,4,4,4,4,4,4,4
1389449186,11889,4,4,4,4,4,4,4,4,4,4
1389508941,11890,4,4,4,4,4,4,4,4,4,4
1389514434,11891,4,4,4,4,4,4,4,4,4,4
1389545267,11892,4,4,4,4,4,4,4,4,4,4
1389574111,11893,4,4,4,4,4,4,4,4,4,4
1389634301,11894,4,4,4,4,4,4,4,4,4,4
1389645648,11895,4,4,4,4,4,4,4,4,4,4
1389696647,11896,4,4,4,4,4,4,4,4,4,4
1389705429,11897,4,4,4,4,4,4,4,4,4,4
1389755422,11898,4,4,4,4,4,4,4,4,4,4
1389767375,11899,4,4,4,4,4,4,4,4,4,4
1389796680,11900,4,4,4,4,4,4,4,4,4,4
1389826661,11901,4,4,4,4,4,4,4,4,4,4
1389874132,11902,4,4,4,4,4,4,4,4,4,4
1389892815,11903,4,4,4,4,4,4,4,4,4,4
1389912262,11904,4,4,4,4,4,4,4,4,4,4
1389955355,11905,4,4,4,4,4,4,4,4,4,4
1390006788,11906,4,4,4,4,4,4,4,4,4,4
1390024222,11907,4,4,4,4,4,4,4,4,4,4
1390041600,11908,4,4,4,4,4,4,4,4,4,4
1390100435,11909,4,4,4,4,4,4,4,4,4,4
1390111659,11910,4,4,4,4,4,4,4,4,4,4
1390140442,11911,4,4,4,4,4,4,4,4,4,4
1390173340,11912,4,4,4,4,4,4,4,4,4,4
1390229996,11913,4,4,4,4,4,4,4,4,4,4
1390237932,11914,4,4,4,4,4,4,4,4,4,4
1390274116,11915,4,4,4,4,4,4,4,4,4,4
1390303055,11916,4,4,4,4,4,4,4,4,4,4
1390341899,11917,4,4,4,4,4,4,4,4,4,4
1390370505,11918,4,4,4,4,4,4,4,4,4,4
1390396604,11919,4,4,4,4,4,4,4,4,4,4
1390423029,11920,4,4,4,4,4,4,4,4,4,4
1390458175,11921,4,4,4,4,4,4,4,4,4,4
1390483078,11922,4,4,4,4,4,4,4,4,4,4
1390510711,11923,4,4,4,4,4,4,4,4,4,4
1390544129,11924,4,4,4,4,4,4,4,4,4,4
1390582547,11925,4,4,4,4,4,4,4,4,4,4
1390613516,11926,4,4,4,4,4,4,4,4,4,4
1390651565,11927,4,4,4,4,4,4,4,4,4,4
1390695504,11928,4,4,4,4,4,4,4,4,4,4
1390700425,11929,4,4,4,4,4,4,4,4,4,4
1390730427,11930,4,4,4,4,4,4,4,4,4,4
1390774569,11931,4,4,4,4,4,4,4,4,4,4
1390807812,11932,4,4,4,4,4,4,4,4,4,4
1390826823,11933,4,4,4,4,4,4,4,4,4,4
1390860780,11934,4,4,4,4,4,4,4,4,4,4
1390889662,11935,4,4,4,4,4,4,4,4,4,4
1390940707,11936,4,4,4,4,4,4,4,4,4,4
1390962350,11937,4,4,4,4,4,4,4,4,4,4
1390986714,11938,4,4,4,4,4,4,4,4,4,4
1391020698,11939,4,4,4,4,4,4,4,4,4,4
1391051873,11940,4,4,4,4,4,4,4,4,4,4
1391076785,11941,4,4,4,4,4,4,4,4,4,4
1391105434,11942,4,4,4,4,4,4,4,4,4,4
1391137971,11943,4,4,4,4,4,4,4,4,4,4
1391170434,11944,4,4,4,4,4,4,4,4,4,4
1391201642,11945,4,4,4,4,4,4,4,4,4,4
1391234319,11946,4,4,4,4,4,4,4,4,4,4
1391296999,11947,4,4,4,4,4,4,4,4,4,4
1391320508,11948,4,4,4,4,4,4,4,4,4,4
1391329222,11949,4,4,4,4,4,4,4,4,4,4
1391361842,11950,4,4,4,4,4,4,4,4,4,4
1391411891,11951,4,4,4,4,4,4,4,4,4,4
1391426845,11952,4,4,4,4,4,4,4,4,4,4
1391450658,11953,4,4,4,4,4,4,4,4,4,4
1391481657,11954,4,4,4,4,4,4,4,4,4,4
1391521412,11955,4,4,4,4,4,4,4,4,4,4
1391547793,11956,4,4,4,4,4,4,4,4,4,4
1391575283,11957,4,4,4,4,4,4,4,4,4,4
1391611774,11958,4,4,4,4,4,4,4,4,4,4
1391640507,11959,4,4,4,4,4,4,4,4,4,4
1391670740,11960,4,4,4,4,4,4,4,4,4,4
1391700526,11961,4,4,4,4,4,4,4,4,4,4
1391757950,11962,4,4,4,4,4,4,4,4,4,4
1391768038,11963,4,4,4,4,4,4,4,4,4,4
1391816905,11964,4,4,4,4,4,4,4,4,4,4
1391830706,11965,4,4,4,4,4,4,4,4,4,4
1391875344,11966,4,4,4,4,4,4,4,4,4,4
1391925692,11967,4,4,4,4,4,4,4,4,4,4
1391930624,11968,4,4,4,4,4,4,4,4,4,4
1391955320,11969,4,4,4,4,4,4,4,4,4,4
1391995682,11970,4,4,4,4,4,4,4,4,4,4
1392014616,11971,4,4,4,4,4,4,4,4,4,4
1392042691,11972,4,4,4,4,4,4,4,4,4,4
1392078442,11973,4,4,4,4,4,4,4,4,4,4
1392117544,11974,4,4,4,4,4,4,4,4,4,4
1392146160,11975,4,4,4,4,4,4,4,4,4,4
1392180726,11976,4,4,4,4,4,4,4,4,4,4
1392233972,11977,4,4,4,4,4,4,4,4,4,4
1392244683,11978,4,4,4,4,4,4,4,4,4,4
1392268245,11979,4,4,4,4,4,4,4,4,4,4
1392295732,11980,4,4,4,4,4,4,4,4,4,4
1392351018,11981,4,4,4,4,4,4,4,4,4,4
1392357793,11982,4,4,4,4,4,4,4,4,4,4
1392395542,11983,4,4,4,4,4,4,4,4,4,4
1392424320,11984,4,4,4,4,4,4,4,4,4,4
1392469887,11985,4,4,4,4,4,4,4,4,4,4
1392489094,11986,4,4,4,4,4,4,4,4,4,4
1392513511,11987,4,4,4,4,4,4,4,4,4,4
1392595390,11988,4,4,4,4,4,4,4,4,4,4
1392603038,11989,4,4,4,4,4,4,4,4,4,4
1392619331,11990,4,4,4,4,4,4,4,4,4,4
1392649865,11991,4,4,4,4,4,4,4,4,4,4
1392669559,11992,4,4,4,4,4,4,4,4,4,4
1392705716,11993,4,4,4,4,4,4,4,4,4,4
1392736828,11994,4,4,4,4,4,4,4,4,4,4
1392768280,11995,4,4,4,4,4,4,4,4,4,4
1392814139,11996,4,4,4,4,4,4,4,4,4,4
1392829645,11997,4,4,4,4,4,4,4,4,4,4
1392855074,11998,4,4,4,4,4,4,4,4,4,4
1392888319,11999,4,4,4,4,4,4,4,4,4,4
1392946892,12000,4,4,4,4,4,4,4,4,4,4
1392958510,12001,4,4,4,4,4,4,4,4,4,4
1392975466,12002,4,4,4,4,4,4,4,4,4,4
1393028970,12003,4,4,4,4,4,4,4,4,4,4
1393065393,12004,4,4,4,4,4,4,4,4,4,4
1393079530,12005,4,4,4,4,4,4,4,4,4,4
1393112243,12006,4,4,4,4,4,4,4,4,4,4
1393143329,12007,4,4,4,4,4,4,4,4,4,4
1393214106,12008,4,4,4,4,4,4,4,4,4,4
1393226978,12009,4,4,4,4,4,4,4,4,4,4
1393236901,12010,4,4,4,4,4,4,4,4,4,4
1393258006,12011,4,4,4,4,4,4,4,4,4,4
1393298291,12012,4,4,4,4,4,4,4,4,4,4
1393330813,12013,4,4,4,4,4,4,4,4,4,4
1393361814,12014,4,4,4,4,4,4,4,4,4,4
1393381284,12015,4,4,4,4,4,4,4,4,4,4
1393419203,12016,4,4,4,4,4,4,4,4,4,4
1393449246,12017,4,4,4,4,4,4,4,4,4,4
1393481926,12018,4,4,4,4,4,4,4,4,4,4
1393531397,12019,4,4,4,4,4,4,4,4,4,4
1393545670,12020,4,4,4,4,4,4,4,4,4,4
1393576869,12021,4,4,4,4,4,4,4,4,4,4
1393608458,12022,4,4,4,4,4,4,4,4,4,4
1393649329,12023,4,4,4,4,4,4,4,4,4,4
1393678439,12024,4,4,4,4,4,4,4,4,4,4
1393701778,12025,4,4,4,4,4,4,4,4,4,4
1393760671,12026,4,4,4,4,4,4,4,4,4,4
1393781328,12027,4,4,4,4,4,4,4,4,4,4
1393806975,12028,4,4,4,4,4,4,4,4,4,4
1393849308,12029,4,4,4,4,4,4,4,4,4,4
1393883012,12030,4,4,4,4,4,4,4,4,4,4
1393896904,12031,4,4,4,4,4,4,4,4,4,4
1393918756,12032,4,4,4,4,4,4,4,4,4,4
1393959207,12033,4,4,4,4,4,4,4,4,4,4
1394013185,12034,4,4,4,4,4,4,4,4,4,4
1394018025,12035,4,4,4,4,4,4,4,4,4,4
1394046180,12036,4,4,4,4,4,4,4,4,4,4
