steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
1984345420,15350,4,4,4,4,4,4,4,4,4,4
1984369317,15351,4,4,4,4,4,4,4,4,4,4
1984389157,15352,4,4,4,4,4,4,4,4,4,4
1984431595,15353,4,4,4,4,4,4,4,4,4,4
1984471488,15354,4,4,4,4,4,4,4,4,4,4
1984498091,15355,4,4,4,4,4,4,4,4,4,4
1984536659,15356,4,4,4,4,4,4,4,4,4,4
1984598052,15357,4,4,4,4,4,4,4,4,4,4
1984603250,15358,4,4,4,4,4,4,4,4,4,4
1984608952,15359,4,4,4,4,4,4,4,4,4,4
1984650172,15360,4,4,4,4,4,4,4,4,4,4
1984696452,15361,4,4,4,4,4,4,4,4,4,4
1984705792,15362,4,4,4,4,4,4,4,4,4,4
1984735854,15363,4,4,4,4,4,4,4,4,4,4
1984773066,15364,4,4,4,4,4,4,4,4,4,4
1984820248,15365,4,4,4,4,4,4,4,4,4,4
1984832886,15366,4,4,4,4,4,4,4,4,4,4
1984863606,15367,4,4,4,4,4,4,4,4,4,4
1984902876,15368,4,4,4,4,4,4,4,4,4,4
1984936672,15369,4,4,4,4,4,4,4,4,4,4
1984964267,15370,4,4,4,4,4,4,4,4,4,4
1984990322,15371,4,4,4,4,4,4,4,4,4,4
1985018184,15372,4,4,4,4,4,4,4,4,4,4
1985055434,15373,4,4,4,4,4,4,4,4,4,4
1985083104,15374,4,4,4,4,4,4,4,4,4,4
1985115495,15375,4,4,4,4,4,4,4,4,4,4
1985167380,15376,4,4,4,4,4,4,4,4,4,4
1985174155,15377,4,4,4,4,4,4,4,4,4,4
1985214124,15378,4,4,4,4,4,4,4,4,4,4
1985239672,15379,4,4,4,4,4,4,4,4,4,4
1985293010,15380,4,4,4,4,4,4,4,4,4,4
1985300511,15381,4,4,4,4,4,4,4,4,4,4
1985331743,15382,4,4,4,4,4,4,4,4,4,4
1985359261,15383,4,4,4,4,4,4,4,4,4,4
