steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
1994752391,15580,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1994761856,15581,-2,0,8.8214355469,-0.6172851563,-4.1798339844,-0.9451219512,1.8902439024,-0.5182926829,-24.1498792506,-19.4999025005,-35.8498207509
1994807929,15582,-2,0,8.7161621094,-0.6148925781,-4.3377441406,-0.8231707317,1.8597560976,-0.1829268293,-23.5498822506,-21.1498942505,-35.9998200009
1994815572,15583,-2,0,8.8238281250,-0.6125000000,-4.3999511719,-0.7926829268,1.3109756098,-0.0609756098,-23.5498822506,-21.1498942505,-35.9998200009
1994859991,15584,-2,0,8.7807617188,-0.6459960938,-4.4358398438,-1.0365853659,0.6707317073,-0.2743902439,-23.5498822506,-21.1498942505,-35.9998200009
1994885678,15585,-2,0,8.7640136719,-0.6292480469,-4.4143066406,-1.1890243902,0.1829268293,-0.3048780488,-23.6998815006,-20.9998950005,-35.3998230009
1994907957,15586,-2,0,8.7640136719,-0.6292480469,-4.4143066406,-1.1585365854,0.0304878049,-0.6097560976,-23.6998815006,-20.9998950005,-35.3998230009
1994939862,15587,-2,0,8.7281250000,-0.6292480469,-4.4741210938,-1.2804878049,0.3048780488,-0.8536585366,-23.6998815006,-20.9998950005,-35.3998230009
1994975382,15588,-2,0,8.7520507813,-0.6077148438,-4.5124023438,-1.0060975610,0.6097560976,-0.7012195122,-23.6998815006,-20.9998950005,-35.3998230009
1995007163,15589,-2,0,8.7089843750,-0.5837890625,-4.4836914063,-0.7926829268,1.2500000000,-0.7317073171,-23.6998815006,-20.9998950005,-35.3998230009
1995039671,15590,-2,0,8.7305175781,-0.6388183594,-4.4812988281,-1.0365853659,1.0670731707,-0.6097560976,-23.6998815006,-20.9998950005,-35.3998230009
1995089753,15591,-2,0,8.7544433594,-0.6412109375,-4.4932617188,-1.2500000000,1.0975609756,-0.8841463415,-24.2998785006,-20.3998980005,-35.5498222509
1995096013,15592,-2,0,8.7520507813,-0.6053222656,-4.4501953125,-1.0670731707,1.6463414634,-0.5792682927,-24.2998785006,-20.3998980005,-35.5498222509
1995129421,15593,-2,0,8.6467773438,-0.5861816406,-4.4430175781,-0.6707317073,2.3170731707,-0.5487804878,-24.2998785006,-20.3998980005,-35.5498222509
1995160677,15594,-2,0,8.8142578125,-0.6053222656,-4.4812988281,-0.6097560976,1.8292682927,-0.0609756098,-25.4998725006,-20.0998995005,-35.5498222509
1995207416,15595,-2,0,8.8429687500,-0.6364257813,-4.4382324219,-0.7926829268,1.0975609756,-0.0609756098,-25.4998725006,-20.0998995005,-35.5498222509
1995232179,15596,-2,0,8.7520507813,-0.6675292969,-4.4501953125,-1.0365853659,0.9756097561,-0.8536585366,-25.4998725006,-20.0998995005,-35.5498222509
1995258204,15597,-2,0,8.6491699219,-0.6316406250,-4.4382324219,-1.1280487805,1.3414634146,-1.0975609756,-22.9498852506,-19.4999025005,-35.3998230009
1995287516,15598,-2,0,8.7041992188,-0.5837890625,-4.4190917969,-0.8231707317,1.4329268293,-1.0365853659,-22.9498852506,-19.4999025005,-35.3998230009
1995334774,15599,-2,0,8.7687988281,-0.5957519531,-4.4286621094,-0.6097560976,1.1890243902,-0.8231707317,-22.9498852506,-19.4999025005,-35.3998230009
1995352203,15600,-2,0,8.7879394531,-0.6172851563,-4.4717285156,-0.4573170732,0.8536585366,-0.3353658537,-22.9498852506,-19.4999025005,-35.3998230009
1995381088,15601,-2,0,8.6922363281,-0.6244628906,-4.4334472656,-0.8231707317,2.0121951220,-0.5182926829,-25.7998710006,-20.8498957505,-34.1998290009
1995412164,15602,-2,0,8.7089843750,-0.6196777344,-4.4047363281,-1.0365853659,2.5609756098,-0.1219512195,-25.7998710006,-20.8498957505,-34.1998290009
1995480138,15603,-2,0,8.7903320313,-0.6220703125,-4.3999511719,-0.9146341463,2.4695121951,-0.1219512195,-25.7998710006,-20.8498957505,-34.1998290009
1995484434,15604,-2,0,8.7759765625,-0.6244628906,-4.3736328125,-0.9146341463,2.4085365854,-0.6402439024,-25.7998710006,-20.8498957505,-34.1998290009
