steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
1733173024,13154,4,4,4,4,4,4,4,4,4,4
1733204449,13155,4,4,4,4,4,4,4,4,4,4
1733243163,13156,4,4,4,4,4,4,4,4,4,4
1733262037,13157,4,4,4,4,4,4,4,4,4,4
1733299576,13158,4,4,4,4,4,4,4,4,4,4
1733324490,13159,4,4,4,4,4,4,4,4,4,4
1733359604,13160,4,4,4,4,4,4,4,4,4,4
1733383149,13161,4,4,4,4,4,4,4,4,4,4
1733420516,13162,4,4,4,4,4,4,4,4,4,4
1733439484,13163,4,4,4,4,4,4,4,4,4,4
1733479300,13164,4,4,4,4,4,4,4,4,4,4
1733519898,13165,4,4,4,4,4,4,4,4,4,4
1733544407,13166,4,4,4,4,4,4,4,4,4,4
1733570575,13167,4,4,4,4,4,4,4,4,4,4
1733609372,13168,4,4,4,4,4,4,4,4,4,4
1733641992,13169,4,4,4,4,4,4,4,4,4,4
1733681938,13170,4,4,4,4,4,4,4,4,4,4
1733700957,13171,4,4,4,4,4,4,4,4,4,4
1733725696,13172,4,4,4,4,4,4,4,4,4,4
1733768383,13173,4,4,4,4,4,4,4,4,4,4
1733789819,13174,4,4,4,4,4,4,4,4,4,4
1733817851,13175,4,4,4,4,4,4,4,4,4,4
1733853413,13176,4,4,4,4,4,4,4,4,4,4
1733888596,13177,4,4,4,4,4,4,4,4,4,4
1733922374,13178,4,4,4,4,4,4,4,4,4,4
1733952113,13179,4,4,4,4,4,4,4,4,4,4
1733988171,13180,4,4,4,4,4,4,4,4,4,4
1734013391,13181,4,4,4,4,4,4,4,4,4,4
1734054931,13182,4,4,4,4,4,4,4,4,4,4
1734074440,13183,4,4,4,4,4,4,4,4,4,4
1734100695,13184,4,4,4,4,4,4,4,4,4,4
1734139642,13185,4,4,4,4,4,4,4,4,4,4
1734174427,13186,4,4,4,4,4,4,4,4,4,4
1734203411,13187,4,4,4,4,4,4,4,4,4,4
1734228117,13188,4,4,4,4,4,4,4,4,4,4
1734262116,13189,4,4,4,4,4,4,4,4,4,4
1734298576,13190,4,4,4,4,4,4,4,4,4,4
1734328964,13191,4,4,4,4,4,4,4,4,4,4
1734364626,13192,4,4,4,4,4,4,4,4,4,4
1734380733,13193,4,4,4,4,4,4,4,4,4,4
1734414662,13194,4,4,4,4,4,4,4,4,4,4
1734445989,13195,4,4,4,4,4,4,4,4,4,4
1734482187,13196,4,4,4,4,4,4,4,4,4,4
1734520422,13197,4,4,4,4,4,4,4,4,4,4
1734545838,13198,4,4,4,4,4,4,4,4,4,4
1734575962,13199,4,4,4,4,4,4,4,4,4,4
1734600053,13200,4,4,4,4,4,4,4,4,4,4
1734637061,13201,4,4,4,4,4,4,4,4,4,4
1734676058,13202,4,4,4,4,4,4,4,4,4,4
1734701449,13203,4,4,4,4,4,4,4,4,4,4
1734730771,13204,4,4,4,4,4,4,4,4,4,4
1734756281,13205,4,4,4,4,4,4,4,4,4,4
1734800973,13206,4,4,4,4,4,4,4,4,4,4
1734831406,13207,4,4,4,4,4,4,4,4,4,4
1734855260,13208,4,4,4,4,4,4,4,4,4,4
1734896937,13209,4,4,4,4,4,4,4,4,4,4
1734918221,13210,4,4,4,4,4,4,4,4,4,4
1734966994,13211,4,4,4,4,4,4,4,4,4,4
1734978518,13212,4,4,4,4,4,4,4,4,4,4
1735012453,13213,4,4,4,4,4,4,4,4,4,4
1735040727,13214,4,4,4,4,4,4,4,4,4,4
1735070585,13215,4,4,4,4,4,4,4,4,4,4
1735107176,13216,4,4,4,4,4,4,4,4,4,4
1735133670,13217,4,4,4,4,4,4,4,4,4,4
1735179517,13218,4,4,4,4,4,4,4,4,4,4
1735201796,13219,4,4,4,4,4,4,4,4,4,4
1735234926,13220,4,4,4,4,4,4,4,4,4,4
1735260005,13221,4,4,4,4,4,4,4,4,4,4
1735290906,13222,4,4,4,4,4,4,4,4,4,4
1735322123,13223,4,4,4,4,4,4,4,4,4,4
1735352108,13224,4,4,4,4,4,4,4,4,4,4
1735391121,13225,4,4,4,4,4,4,4,4,4,4
1735423345,13226,4,4,4,4,4,4,4,4,4,4
1735449919,13227,4,4,4,4,4,4,4,4,4,4
1735489484,13228,4,4,4,4,4,4,4,4,4,4
1735508451,13229,4,4,4,4,4,4,4,4,4,4
1735547109,13230,4,4,4,4,4,4,4,4,4,4
1735571034,13231,4,4,4,4,4,4,4,4,4,4
1735603670,13232,4,4,4,4,4,4,4,4,4,4
1735633617,13233,4,4,4,4,4,4,4,4,4,4
1735668774,13234,4,4,4,4,4,4,4,4,4,4
1735698436,13235,4,4,4,4,4,4,4,4,4,4
1735735215,13236,4,4,4,4,4,4,4,4,4,4
1735771382,13237,4,4,4,4,4,4,4,4,4,4
1735791286,13238,4,4,4,4,4,4,4,4,4,4
1735830972,13239,4,4,4,4,4,4,4,4,4,4
1735852611,13240,4,4,4,4,4,4,4,4,4,4
1735892094,13241,4,4,4,4,4,4,4,4,4,4
1735916388,13242,4,4,4,4,4,4,4,4,4,4
1735949043,13243,4,4,4,4,4,4,4,4,4,4
1735983945,13244,4,4,4,4,4,4,4,4,4,4
1736013696,13245,4,4,4,4,4,4,4,4,4,4
1736040044,13246,4,4,4,4,4,4,4,4,4,4
1736065386,13247,4,4,4,4,4,4,4,4,4,4
1736109589,13248,4,4,4,4,4,4,4,4,4,4
1736142282,13249,4,4,4,4,4,4,4,4,4,4
1736170365,13250,4,4,4,4,4,4,4,4,4,4
1736200205,13251,4,4,4,4,4,4,4,4,4,4
1736226485,13252,4,4,4,4,4,4,4,4,4,4
1736274237,13253,4,4,4,4,4,4,4,4,4,4
1736299547,13254,4,4,4,4,4,4,4,4,4,4
1736321328,13255,4,4,4,4,4,4,4,4,4,4
1736362158,13256,4,4,4,4,4,4,4,4,4,4
1736380855,13257,4,4,4,4,4,4,4,4,4,4
1736417007,13258,4,4,4,4,4,4,4,4,4,4
1736449163,13259,4,4,4,4,4,4,4,4,4,4
1736487373,13260,4,4,4,4,4,4,4,4,4,4
1736506107,13261,4,4,4,4,4,4,4,4,4,4
1736540256,13262,4,4,4,4,4,4,4,4,4,4
1736574116,13263,4,4,4,4,4,4,4,4,4,4
1736598607,13264,4,4,4,4,4,4,4,4,4,4
1736636346,13265,4,4,4,4,4,4,4,4,4,4
1736673054,13266,4,4,4,4,4,4,4,4,4,4
1736710513,13267,4,4,4,4,4,4,4,4,4,4
1736739549,13268,4,4,4,4,4,4,4,4,4,4
1736754880,13269,4,4,4,4,4,4,4,4,4,4
1736794668,13270,4,4,4,4,4,4,4,4,4,4
1736834071,13271,4,4,4,4,4,4,4,4,4,4
1736853894,13272,4,4,4,4,4,4,4,4,4,4
1736891105,13273,4,4,4,4,4,4,4,4,4,4
1736925543,13274,4,4,4,4,4,4,4,4,4,4
1736959106,13275,4,4,4,4,4,4,4,4,4,4
1736981514,13276,4,4,4,4,4,4,4,4,4,4
1737009142,13277,4,4,4,4,4,4,4,4,4,4
1737046099,13278,4,4,4,4,4,4,4,4,4,4
1737076978,13279,4,4,4,4,4,4,4,4,4,4
1737104379,13280,4,4,4,4,4,4,4,4,4,4
1737145980,13281,4,4,4,4,4,4,4,4,4,4
1737185520,13282,4,4,4,4,4,4,4,4,4,4
1737202018,13283,4,4,4,4,4,4,4,4,4,4
1737232062,13284,4,4,4,4,4,4,4,4,4,4
1737265191,13285,4,4,4,4,4,4,4,4,4,4
1737311867,13286,4,4,4,4,4,4,4,4,4,4
1737330562,13287,4,4,4,4,4,4,4,4,4,4
1737354947,13288,4,4,4,4,4,4,4,4,4,4
1737394445,13289,4,4,4,4,4,4,4,4,4,4
1737433669,13290,4,4,4,4,4,4,4,4,4,4
1737453931,13291,4,4,4,4,4,4,4,4,4,4
1737485265,13292,4,4,4,4,4,4,4,4,4,4
