steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
2053710796,16263,4,4,4,4,4,4,4,4,4,4
2053721983,16264,4,4,4,4,4,4,4,4,4,4
2053751054,16265,4,4,4,4,4,4,4,4,4,4
2053807170,16266,4,4,4,4,4,4,4,4,4,4
2053817752,16267,4,4,4,4,4,4,4,4,4,4
2053848332,16268,4,4,4,4,4,4,4,4,4,4
2053873436,16269,4,4,4,4,4,4,4,4,4,4
2053928411,16270,4,4,4,4,4,4,4,4,4,4
2053934379,16271,4,4,4,4,4,4,4,4,4,4
2053962882,16272,4,4,4,4,4,4,4,4,4,4
2053998066,16273,4,4,4,4,4,4,4,4,4,4
2054043188,16274,4,4,4,4,4,4,4,4,4,4
2054060725,16275,4,4,4,4,4,4,4,4,4,4
2054108907,16276,4,4,4,4,4,4,4,4,4,4
2054126070,16277,4,4,4,4,4,4,4,4,4,4
2054158768,16278,4,4,4,4,4,4,4,4,4,4
2054185684,16279,4,4,4,4,4,4,4,4,4,4
2054216253,16280,4,4,4,4,4,4,4,4,4,4
2054278355,16281,4,4,4,4,4,4,4,4,4,4
2054284866,16282,4,4,4,4,4,4,4,4,4,4
2054332150,16283,4,4,4,4,4,4,4,4,4,4
2054337003,16284,4,4,4,4,4,4,4,4,4,4
2054387816,16285,4,4,4,4,4,4,4,4,4,4
2054408185,16286,4,4,4,4,4,4,4,4,4,4
2054435781,16287,4,4,4,4,4,4,4,4,4,4
2054466392,16288,4,4,4,4,4,4,4,4,4,4
2054514688,16289,4,4,4,4,4,4,4,4,4,4
2054538438,16290,4,4,4,4,4,4,4,4,4,4
2054577037,16291,4,4,4,4,4,4,4,4,4,4
2054591888,16292,4,4,4,4,4,4,4,4,4,4
2054630359,16293,4,4,4,4,4,4,4,4,4,4
2054655687,16294,4,4,4,4,4,4,4,4,4,4
2054683457,16295,4,4,4,4,4,4,4,4,4,4
2054717326,16296,4,4,4,4,4,4,4,4,4,4
2054750886,16297,4,4,4,4,4,4,4,4,4,4
2054789963,16298,4,4,4,4,4,4,4,4,4,4
2054816057,16299,4,4,4,4,4,4,4,4,4,4
2054875040,16300,4,4,4,4,4,4,4,4,4,4
2054877962,16301,4,4,4,4,4,4,4,4,4,4
2054907515,16302,4,4,4,4,4,4,4,4,4,4
2054938478,16303,4,4,4,4,4,4,4,4,4,4
2055004712,16304,4,4,4,4,4,4,4,4,4,4
2055011360,16305,4,4,4,4,4,4,4,4,4,4
2055032265,16306,4,4,4,4,4,4,4,4,4,4
2055062227,16307,4,4,4,4,4,4,4,4,4,4
2055108483,16308,4,4,4,4,4,4,4,4,4,4
2055125779,16309,4,4,4,4,4,4,4,4,4,4
2055154761,16310,4,4,4,4,4,4,4,4,4,4
2055186217,16311,4,4,4,4,4,4,4,4,4,4
2055224632,16312,4,4,4,4,4,4,4,4,4,4
2055251057,16313,4,4,4,4,4,4,4,4,4,4
2055277206,16314,4,4,4,4,4,4,4,4,4,4
2055334399,16315,4,4,4,4,4,4,4,4,4,4
2055344827,16316,4,4,4,4,4,4,4,4,4,4
2055383581,16317,4,4,4,4,4,4,4,4,4,4
2055400283,16318,4,4,4,4,4,4,4,4,4,4
2055455538,16319,4,4,4,4,4,4,4,4,4,4
2055472301,16320,4,4,4,4,4,4,4,4,4,4
2055497179,16321,4,4,4,4,4,4,4,4,4,4
2055531273,16322,4,4,4,4,4,4,4,4,4,4
2055574648,16323,4,4,4,4,4,4,4,4,4,4
2055614394,16324,4,4,4,4,4,4,4,4,4,4
2055624507,16325,4,4,4,4,4,4,4,4,4,4
2055653687,16326,4,4,4,4,4,4,4,4,4,4
2055689813,16327,4,4,4,4,4,4,4,4,4,4
2055722293,16328,4,4,4,4,4,4,4,4,4,4
2055764731,16329,4,4,4,4,4,4,4,4,4,4
2055779902,16330,4,4,4,4,4,4,4,4,4,4
2055817087,16331,4,4,4,4,4,4,4,4,4,4
2055846527,16332,4,4,4,4,4,4,4,4,4,4
2055877366,16333,4,4,4,4,4,4,4,4,4,4
2055932362,16334,4,4,4,4,4,4,4,4,4,4
2055938935,16335,4,4,4,4,4,4,4,4,4,4
2055970171,16336,4,4,4,4,4,4,4,4,4,4
2056002335,16337,4,4,4,4,4,4,4,4,4,4
2056058670,16338,4,4,4,4,4,4,4,4,4,4
2056063291,16339,4,4,4,4,4,4,4,4,4,4
2056093063,16340,4,4,4,4,4,4,4,4,4,4
2056124713,16341,4,4,4,4,4,4,4,4,4,4
2056172479,16342,4,4,4,4,4,4,4,4,4,4
2056195349,16343,4,4,4,4,4,4,4,4,4,4
2056211617,16344,4,4,4,4,4,4,4,4,4,4
2056279636,16345,4,4,4,4,4,4,4,4,4,4
2056289134,16346,4,4,4,4,4,4,4,4,4,4
2056311493,16347,4,4,4,4,4,4,4,4,4,4
2056341735,16348,4,4,4,4,4,4,4,4,4,4
2056371333,16349,4,4,4,4,4,4,4,4,4,4
2056403636,16350,4,4,4,4,4,4,4,4,4,4
2056437261,16351,4,4,4,4,4,4,4,4,4,4
2056464992,16352,4,4,4,4,4,4,4,4,4,4
2056524564,16353,4,4,4,4,4,4,4,4,4,4
2056531352,16354,4,4,4,4,4,4,4,4,4,4
2056561519,16355,4,4,4,4,4,4,4,4,4,4
2056594485,16356,4,4,4,4,4,4,4,4,4,4
2056639561,16357,4,4,4,4,4,4,4,4,4,4
2056661246,16358,4,4,4,4,4,4,4,4,4,4
2056690451,16359,4,4,4,4,4,4,4,4,4,4
2056721376,16360,4,4,4,4,4,4,4,4,4,4
2056760176,16361,4,4,4,4,4,4,4,4,4,4
2056784807,16362,4,4,4,4,4,4,4,4,4,4
2056814305,16363,4,4,4,4,4,4,4,4,4,4
2056842587,16364,4,4,4,4,4,4,4,4,4,4
2056872204,16365,4,4,4,4,4,4,4,4,4,4
2056909259,16366,4,4,4,4,4,4,4,4,4,4
2056938544,16367,4,4,4,4,4,4,4,4,4,4
2056996043,16368,4,4,4,4,4,4,4,4,4,4
2056999506,16369,4,4,4,4,4,4,4,4,4,4
2057030451,16370,4,4,4,4,4,4,4,4,4,4
2057063615,16371,4,4,4,4,4,4,4,4,4,4
2057112387,16372,4,4,4,4,4,4,4,4,4,4
2057118872,16373,4,4,4,4,4,4,4,4,4,4
2057170678,16374,4,4,4,4,4,4,4,4,4,4
2057189724,16375,4,4,4,4,4,4,4,4,4,4
2057227327,16376,4,4,4,4,4,4,4,4,4,4
2057267377,16377,4,4,4,4,4,4,4,4,4,4
2057284343,16378,4,4,4,4,4,4,4,4,4,4
2057316991,16379,4,4,4,4,4,4,4,4,4,4
2057349995,16380,4,4,4,4,4,4,4,4,4,4
2057376047,16381,4,4,4,4,4,4,4,4,4,4
2057399830,16382,4,4,4,4,4,4,4,4,4,4
2057431702,16383,4,4,4,4,4,4,4,4,4,4
2057477375,16384,4,4,4,4,4,4,4,4,4,4
2057501041,16385,4,4,4,4,4,4,4,4,4,4
2057534337,16386,4,4,4,4,4,4,4,4,4,4
2057585919,16387,4,4,4,4,4,4,4,4,4,4
2057599653,16388,4,4,4,4,4,4,4,4,4,4
2057629954,16389,4,4,4,4,4,4,4,4,4,4
2057663301,16390,4,4,4,4,4,4,4,4,4,4
2057701430,16391,4,4,4,4,4,4,4,4,4,4
2057715237,16392,4,4,4,4,4,4,4,4,4,4
2057749501,16393,4,4,4,4,4,4,4,4,4,4
2057778419,16394,4,4,4,4,4,4,4,4,4,4
2057827351,16395,4,4,4,4,4,4,4,4,4,4
2057843614,16396,4,4,4,4,4,4,4,4,4,4
2057874770,16397,4,4,4,4,4,4,4,4,4,4
2057907298,16398,4,4,4,4,4,4,4,4,4,4
2057934786,16399,4,4,4,4,4,4,4,4,4,4
2057961713,16400,4,4,4,4,4,4,4,4,4,4
2058003919,16401,4,4,4,4,4,4,4,4,4,4
2058048473,16402,4,4,4,4,4,4,4,4,4,4
2058055672,16403,4,4,4,4,4,4,4,4,4,4
2058087027,16404,4,4,4,4,4,4,4,4,4,4
2058123544,16405,4,4,4,4,4,4,4,4,4,4
2058194825,16406,4,4,4,4,4,4,4,4,4,4
2058203940,16407,4,4,4,4,4,4,4,4,4,4
2058215573,16408,4,4,4,4,4,4,4,4,4,4
2058244894,16409,4,4,4,4,4,4,4,4,4,4
2058299221,16410,4,4,4,4,4,4,4,4,4,4
2058322360,16411,4,4,4,4,4,4,4,4,4,4
2058340275,16412,4,4,4,4,4,4,4,4,4,4
2058373032,16413,4,4,4,4,4,4,4,4,4,4
2058414923,16414,4,4,4,4,4,4,4,4,4,4
2058440978,16415,4,4,4,4,4,4,4,4,4,4
2058474542,16416,4,4,4,4,4,4,4,4,4,4
2058494690,16417,4,4,4,4,4,4,4,4,4,4
2058530902,16418,4,4,4,4,4,4,4,4,4,4
2058561059,16419,4,4,4,4,4,4,4,4,4,4
2058590293,16420,4,4,4,4,4,4,4,4,4,4
2058655842,16421,4,4,4,4,4,4,4,4,4,4
2058662329,16422,4,4,4,4,4,4,4,4,4,4
2058691212,16423,4,4,4,4,4,4,4,4,4,4
2058717254,16424,4,4,4,4,4,4,4,4,4,4
2058773001,16425,4,4,4,4,4,4,4,4,4,4
2058806055,16426,4,4,4,4,4,4,4,4,4,4
2058819884,16427,4,4,4,4,4,4,4,4,4,4
2058849746,16428,4,4,4,4,4,4,4,4,4,4
2058889713,16429,4,4,4,4,4,4,4,4,4,4
2058914620,16430,4,4,4,4,4,4,4,4,4,4
2058935703,16431,4,4,4,4,4,4,4,4,4,4
2058968516,16432,4,4,4,4,4,4,4,4,4,4
2059002214,16433,4,4,4,4,4,4,4,4,4,4
2059033264,16434,4,4,4,4,4,4,4,4,4,4
2059065488,16435,4,4,4,4,4,4,4,4,4,4
2059122129,16436,4,4,4,4,4,4,4,4,4,4
2059128857,16437,4,4,4,4,4,4,4,4,4,4
2059158129,16438,4,4,4,4,4,4,4,4,4,4
2059190636,16439,4,4,4,4,4,4,4,4,4,4
2059242297,16440,4,4,4,4,4,4,4,4,4,4
2059251139,16441,4,4,4,4,4,4,4,4,4,4
2059281062,16442,4,4,4,4,4,4,4,4,4,4
2059311707,16443,4,4,4,4,4,4,4,4,4,4
2059355162,16444,4,4,4,4,4,4,4,4,4,4
