steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
2062551910,16493,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2062575765,16494,-2,0,9.0176269531,-0.1818359375,-3.8281250000,-1.3414634146,1.2195121951,-0.2439024390,-26.6998665007,-17.8499107504,-34.3498282509
2062607270,16495,-2,0,0.3158203125,-0.0071777344,-0.1339843750,-1.3719512195,1.3109756098,-0.2743902439,-25.0498747506,-18.8999055005,-31.4998425008
2062688995,16496,-2,0,8.9578125000,-0.1579101563,-3.8281250000,-1.0670731707,1.2804878049,-0.1524390244,-25.0498747506,-18.8999055005,-31.4998425008
2062694049,16497,-2,0,9.0152343750,-0.1459472656,-3.9118652344,-1.0365853659,1.2195121951,-0.2439024390,-25.0498747506,-18.8999055005,-31.4998425008
2062703331,16498,-2,0,9.0056640625,-0.1674804688,-3.9142578125,-0.9756097561,1.0670731707,-0.6707317073,-23.9998800006,-17.6999115004,-32.9998350008
2062735987,16499,-2,0,9.0271972656,-0.1818359375,-3.9070800781,-1.0670731707,0.9451219512,-1.0670731707,-23.9998800006,-17.6999115004,-32.9998350008
2062778307,16500,-2,0,9.0271972656,-0.1626953125,-3.9310058594,-0.8231707317,1.3414634146,-0.6402439024,-23.9998800006,-17.6999115004,-32.9998350008
2062784140,16501,-2,0,8.9338867188,-0.1626953125,-3.9142578125,-0.6402439024,2.2865853659,-0.4573170732,-23.9998800006,-18.8999055005,-34.9498252509
2062819625,16502,-2,0,9.1037597656,-0.1626953125,-3.8831542969,-0.7621951220,1.6463414634,0.0609756098,-23.9998800006,-18.8999055005,-34.9498252509
2062848439,16503,-2,0,9.1157226563,-0.1770507813,-3.9381835938,-1.0670731707,0.6707317073,-0.2134146341,-23.9998800006,-18.8999055005,-34.9498252509
