steady_timestamp,sequence,battery,flags,TMS-ch1
2080256057,16939,-2,0,32169.0000000000
2080268363,16940,-2,0,63420.0000000000
2080302112,16941,-2,0,94671.0000000000
2080329423,16942,-2,0,125922.0000000000
2080384489,16943,-2,0,157173.0000000000
2080397065,16944,-2,0,188424.0000000000
2080428434,16945,-2,0,219675.0000000000
2080455730,16946,-2,0,250926.0000000000
2080503299,16947,-2,0,282177.0000000000
2080522633,16948,-2,0,313428.0000000000
2080572169,16949,-2,0,344679.0000000000
2080583666,16950,-2,0,375930.0000000000
2080626071,16951,-2,0,407181.0000000000
2080651433,16952,-2,0,438432.0000000000
2080686108,16953,-2,0,469683.0000000000
2080742079,16954,-2,0,500934.0000000000
2080745981,16955,-2,0,532185.0000000000
2080767159,16956,-2,0,563436.0000000000
2080798548,16957,-2,0,594687.0000000000
2080855941,16958,-2,0,625938.0000000000
2080862385,16959,-2,0,657189.0000000000
2080898542,16960,-2,0,688440.0000000000
2080937023,16961,-2,0,719691.0000000000
2080972327,16962,-2,0,750942.0000000000
2080993845,16963,-2,0,782193.0000000000
2081022453,16964,-2,0,813444.0000000000
2081044164,16965,-2,0,844695.0000000000
2081097270,16966,-2,0,875946.0000000000
2081114942,16967,-2,0,907197.0000000000
2081147213,16968,-2,0,938448.0000000000
2081194950,16969,-2,0,969699.0000000000
2081235159,16970,3,0,1000950.0000000000
2081239940,16971,3,0,1032201.0000000000
2081268537,16972,3,0,1063452.0000000000
2081326074,16973,3,0,1094703.0000000000
2081335120,16974,3,0,1125954.0000000000
2081363890,16975,3,0,1157205.0000000000
2081392116,16976,3,0,1188456.0000000000
2081447148,16977,3,0,1219707.0000000000
2081452753,16978,3,0,1250958.0000000000
2081495960,16979,3,0,1282209.0000000000
2081518537,16980,3,0,1313460.0000000000
2081569629,16981,3,0,1344711.0000000000
2081578630,16982,3,0,1375962.0000000000
2081615898,16983,3,0,1407213.0000000000
2081644937,16984,3,0,1438464.0000000000
2081703644,16985,3,0,1469715.0000000000
2081707225,16986,3,0,1500966.0000000000
2081745015,16987,3,0,1532217.0000000000
2081791072,16988,3,0,1563468.0000000000
2081805077,16989,3,0,1594719.0000000000
2081852257,16990,3,0,1625970.0000000000
2081866094,16991,3,0,1657221.0000000000
2081912383,16992,3,0,1688472.0000000000
2081932216,16993,3,0,1719723.0000000000
2081965881,16994,3,0,1750974.0000000000
2081988188,16995,3,0,1782225.0000000000
2082037347,16996,3,0,1813476.0000000000
2082061143,16997,3,0,1844727.0000000000
2082079698,16998,3,0,1875978.0000000000
2082108929,16999,3,0,1907229.0000000000
2082159750,17000,3,0,1938480.0000000000
2082179905,17001,3,0,1969731.0000000000
2082206114,17002,3,0,2000982.0000000000
2082239274,17003,3,0,2032233.0000000000
2082273427,17004,3,0,2063484.0000000000
2082304555,17005,3,0,2094735.0000000000
2082340764,17006,3,0,2125986.0000000000
2082392243,17007,3,0,2157237.0000000000
2082394449,17008,3,0,2188488.0000000000
2082432249,17009,3,0,2219739.0000000000
2082457281,17010,3,0,2250990.0000000000
2082526253,17011,3,0,2282241.0000000000
2082530589,17012,3,0,2313492.0000000000
2082551338,17013,3,0,2344743.0000000000
2082581202,17014,3,0,2375994.0000000000
2082636702,17015,3,0,2407245.0000000000
2082648658,17016,3,0,2438496.0000000000
2082678835,17017,3,0,2469747.0000000000
2082707267,17018,3,0,2500998.0000000000
2082749911,17019,3,0,2532249.0000000000
2082774861,17020,3,0,2563500.0000000000
2082810052,17021,3,0,2594751.0000000000
2082860935,17022,3,0,2626002.0000000000
2082872398,17023,3,0,2657253.0000000000
2082893972,17024,3,0,2688504.0000000000
2082926316,17025,3,0,2719755.0000000000
2082984831,17026,3,0,2751006.0000000000
2082990913,17027,3,0,2782257.0000000000
2083022325,17028,3,0,2813508.0000000000
2083050533,17029,3,0,2844759.0000000000
2083128796,17030,3,0,2876010.0000000000
2083140082,17031,3,0,2907261.0000000000
2083148991,17032,3,0,2938512.0000000000
2083179582,17033,3,0,2969763.0000000000
2083222595,17034,3,0,3001014.0000000000
2083242888,17035,3,0,3032265.0000000000
2083280763,17036,3,0,3063516.0000000000
2083324723,17037,3,0,3094767.0000000000
2083339005,17038,3,0,3126018.0000000000
2083363616,17039,3,0,3157269.0000000000
2083401088,17040,3,0,3188520.0000000000
2083457551,17041,3,0,3219771.0000000000
2083463586,17042,3,0,3251022.0000000000
2083490263,17043,3,0,3282273.0000000000
2083517269,17044,3,0,3313524.0000000000
2083570870,17045,3,0,3344775.0000000000
2083583975,17046,3,0,3376026.0000000000
2083614671,17047,3,0,3407277.0000000000
2083651197,17048,3,0,3438528.0000000000
2083694940,17049,3,0,3469779.0000000000
2083714908,17050,3,0,3501030.0000000000
2083737264,17051,3,0,3532281.0000000000
2083812279,17052,3,0,3563532.0000000000
2083821133,17053,3,0,3594783.0000000000
2083838553,17054,3,0,3626034.0000000000
2083867510,17055,3,0,3657285.0000000000
2083911378,17056,3,0,3688536.0000000000
2083928604,17057,3,0,3719787.0000000000
2083965202,17058,3,0,3751038.0000000000
2083986303,17059,3,0,3782289.0000000000
2084040813,17060,3,0,3813540.0000000000
2084057316,17061,3,0,3844791.0000000000
2084081167,17062,3,0,3876042.0000000000
2084109150,17063,3,0,3907293.0000000000
2084161157,17064,3,0,3938544.0000000000
2084180146,17065,3,0,3969795.0000000000
2084209796,17066,3,0,4001046.0000000000
2084238906,17067,3,0,4032297.0000000000
2084287883,17068,3,0,4063548.0000000000
2084308439,17069,3,0,4094799.0000000000
2084339717,17070,3,0,4126050.0000000000
2084362240,17071,3,0,4157301.0000000000
2084415984,17072,3,0,4188552.0000000000
2084437434,17073,3,0,4219803.0000000000
2084458470,17074,3,0,4251054.0000000000
2084510153,17075,3,0,4282305.0000000000
2084519808,17076,3,0,4313556.0000000000
2084550084,17077,3,0,4344807.0000000000
2084581194,17078,3,0,4376058.0000000000
2084640140,17079,3,0,4407309.0000000000
2084644866,17080,3,0,4438560.0000000000
2084685271,17081,3,0,4469811.0000000000
2084714974,17082,3,0,4501062.0000000000
2084757289,17083,3,0,4532313.0000000000
2084770546,17084,3,0,4563564.0000000000
2084799898,17085,3,0,4594815.0000000000
2084836038,17086,3,0,4626066.0000000000
2084870182,17087,3,0,4657317.0000000000
2084897265,17088,3,0,4688568.0000000000
2084929861,17089,3,0,4719819.0000000000
2084983417,17090,3,0,4751070.0000000000
2084989756,17091,3,0,4782321.0000000000
2085051127,17092,3,0,4813572.0000000000
2085056114,17093,3,0,4844823.0000000000
2085106160,17094,3,0,4876074.0000000000
2085121190,17095,3,0,4907325.0000000000
2085142310,17096,3,0,4938576.0000000000
2085178663,17097,3,0,4969827.0000000000
2085226163,17098,3,0,5001078.0000000000
2085243641,17099,3,0,5032329.0000000000
2085274894,17100,3,0,5063580.0000000000
2085302310,17101,3,0,5094831.0000000000
2085336345,17102,3,0,5126082.0000000000
2085371002,17103,3,0,5157333.0000000000
2085404042,17104,3,0,5188584.0000000000
2085450824,17105,3,0,5219835.0000000000
2085452315,17106,3,0,5251086.0000000000
2085493689,17107,3,0,5282337.0000000000
2085517485,17108,3,0,5313588.0000000000
2085569655,17109,3,0,5344839.0000000000
2085582426,17110,3,0,5376090.0000000000
2085612300,17111,3,0,5407341.0000000000
2085654702,17112,3,0,5438592.0000000000
2085713372,17113,3,0,5469843.0000000000
2085727133,17114,3,0,5501094.0000000000
2085732072,17115,3,0,5532345.0000000000
2085772275,17116,3,0,5563596.0000000000
2085817404,17117,3,0,5594847.0000000000
2085841058,17118,3,0,5626098.0000000000
2085866394,17119,3,0,5657349.0000000000
2085894864,17120,3,0,5688600.0000000000
2085931347,17121,3,0,5719851.0000000000
2085958928,17122,3,0,5751102.0000000000
2085989425,17123,3,0,5782353.0000000000
2086044807,17124,3,0,5813604.0000000000
2086052466,17125,3,0,5844855.0000000000
2086082368,17126,3,0,5876106.0000000000
2086111431,17127,3,0,5907357.0000000000
2086165166,17128,3,0,5938608.0000000000
2086188474,17129,3,0,5969859.0000000000
2086211050,17130,3,0,6001110.0000000000
2086248593,17131,3,0,6032361.0000000000
2086296830,17132,3,0,6063612.0000000000
2086328528,17133,3,0,6094863.0000000000
2086334923,17134,3,0,6126114.0000000000
2086365247,17135,3,0,6157365.0000000000
2086409265,17136,3,0,6188616.0000000000
2086441577,17137,3,0,6219867.0000000000
2086468549,17138,3,0,6251118.0000000000
2086517280,17139,3,0,6282369.0000000000
2086527812,17140,3,0,6313620.0000000000
2086551375,17141,3,0,6344871.0000000000
2086582459,17142,3,0,6376122.0000000000
2086634052,17143,3,0,6407373.0000000000
2086653462,17144,3,0,6438624.0000000000
2086680028,17145,3,0,6469875.0000000000
2086716072,17146,3,0,6501126.0000000000
2086757390,17147,3,0,6532377.0000000000
2086772438,17148,3,0,6563628.0000000000
2086800135,17149,3,0,6594879.0000000000
2086844725,17150,3,0,6626130.0000000000
2086877116,17151,3,0,6657381.0000000000
2086901131,17152,3,0,6688632.0000000000
2086924582,17153,3,0,6719883.0000000000
2086974867,17154,3,0,6751134.0000000000
2087003961,17155,3,0,6782385.0000000000
2087022356,17156,3,0,6813636.0000000000
2087075270,17157,3,0,6844887.0000000000
2087077272,17158,3,0,6876138.0000000000
2087118627,17159,3,0,6907389.0000000000
2087143571,17160,3,0,6938640.0000000000
2087176088,17161,3,0,6969891.0000000000
2087231669,17162,3,0,7001142.0000000000
2087238255,17163,3,0,7032393.0000000000
