steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
7817571136,18423,4,4,4,4,4,4,4,4,4,4
7817615083,18424,4,4,4,4,4,4,4,4,4,4
7817638514,18425,4,4,4,4,4,4,4,4,4,4
7817670201,18426,4,4,4,4,4,4,4,4,4,4
7817721291,18427,4,4,4,4,4,4,4,4,4,4
7817730732,18428,4,4,4,4,4,4,4,4,4,4
7817772502,18429,4,4,4,4,4,4,4,4,4,4
7817798543,18430,4,4,4,4,4,4,4,4,4,4
7817841803,18431,4,4,4,4,4,4,4,4,4,4
7817881990,18432,4,4,4,4,4,4,4,4,4,4
7817898523,18433,4,4,4,4,4,4,4,4,4,4
7817926048,18434,4,4,4,4,4,4,4,4,4,4
7817959468,18435,4,4,4,4,4,4,4,4,4,4
7817996168,18436,4,4,4,4,4,4,4,4,4,4
7818019790,18437,4,4,4,4,4,4,4,4,4,4
7818079857,18438,4,4,4,4,4,4,4,4,4,4
7818083872,18439,4,4,4,4,4,4,4,4,4,4
7818111980,18440,4,4,4,4,4,4,4,4,4,4
7818139620,18441,4,4,4,4,4,4,4,4,4,4
7818198834,18442,4,4,4,4,4,4,4,4,4,4
7818205237,18443,4,4,4,4,4,4,4,4,4,4
7818233248,18444,4,4,4,4,4,4,4,4,4,4
7818261535,18445,4,4,4,4,4,4,4,4,4,4
7818317712,18446,4,4,4,4,4,4,4,4,4,4
7818331197,18447,4,4,4,4,4,4,4,4,4,4
7818353113,18448,4,4,4,4,4,4,4,4,4,4
7818384138,18449,4,4,4,4,4,4,4,4,4,4
7818445335,18450,4,4,4,4,4,4,4,4,4,4
7818451268,18451,4,4,4,4,4,4,4,4,4,4
7818478184,18452,4,4,4,4,4,4,4,4,4,4
7818516057,18453,4,4,4,4,4,4,4,4,4,4
7818552603,18454,4,4,4,4,4,4,4,4,4,4
7818581388,18455,4,4,4,4,4,4,4,4,4,4
7818605337,18456,4,4,4,4,4,4,4,4,4,4
7818635465,18457,4,4,4,4,4,4,4,4,4,4
7818671575,18458,4,4,4,4,4,4,4,4,4,4
7818711358,18459,4,4,4,4,4,4,4,4,4,4
7818741462,18460,4,4,4,4,4,4,4,4,4,4
7818768680,18461,4,4,4,4,4,4,4,4,4,4
7818792593,18462,4,4,4,4,4,4,4,4,4,4
7818833626,18463,4,4,4,4,4,4,4,4,4,4
7818856233,18464,4,4,4,4,4,4,4,4,4,4
7818892471,18465,4,4,4,4,4,4,4,4,4,4
7818916531,18466,4,4,4,4,4,4,4,4,4,4
7818954135,18467,4,4,4,4,4,4,4,4,4,4
7818985222,18468,4,4,4,4,4,4,4,4,4,4
7819030415,18469,4,4,4,4,4,4,4,4,4,4
7819042230,18470,4,4,4,4,4,4,4,4,4,4
7819069617,18471,4,4,4,4,4,4,4,4,4,4
7819111353,18472,4,4,4,4,4,4,4,4,4,4
7819167265,18473,4,4,4,4,4,4,4,4,4,4
7819178347,18474,4,4,4,4,4,4,4,4,4,4
7819210917,18475,4,4,4,4,4,4,4,4,4,4
7819256327,18476,4,4,4,4,4,4,4,4,4,4
7819264809,18477,4,4,4,4,4,4,4,4,4,4
7819295343,18478,4,4,4,4,4,4,4,4,4,4
7819325602,18479,4,4,4,4,4,4,4,4,4,4
7819385065,18480,4,4,4,4,4,4,4,4,4,4
7819391250,18481,4,4,4,4,4,4,4,4,4,4
7819418711,18482,4,4,4,4,4,4,4,4,4,4
7819449064,18483,4,4,4,4,4,4,4,4,4,4
7819498982,18484,4,4,4,4,4,4,4,4,4,4
7819523970,18485,4,4,4,4,4,4,4,4,4,4
7819542388,18486,4,4,4,4,4,4,4,4,4,4
7819581328,18487,4,4,4,4,4,4,4,4,4,4
7819617683,18488,4,4,4,4,4,4,4,4,4,4
7819648749,18489,4,4,4,4,4,4,4,4,4,4
7819672552,18490,4,4,4,4,4,4,4,4,4,4
7819703129,18491,4,4,4,4,4,4,4,4,4,4
7819736290,18492,4,4,4,4,4,4,4,4,4,4
7819788955,18493,4,4,4,4,4,4,4,4,4,4
7819799218,18494,4,4,4,4,4,4,4,4,4,4
7819852523,18495,4,4,4,4,4,4,4,4,4,4
7819859048,18496,4,4,4,4,4,4,4,4,4,4
7819889002,18497,4,4,4,4,4,4,4,4,4,4
7819918999,18498,4,4,4,4,4,4,4,4,4,4
7819974262,18499,4,4,4,4,4,4,4,4,4,4
7819985969,18500,4,4,4,4,4,4,4,4,4,4
7820016367,18501,4,4,4,4,4,4,4,4,4,4
7820044869,18502,4,4,4,4,4,4,4,4,4,4
7820092633,18503,4,4,4,4,4,4,4,4,4,4
7820101949,18504,4,4,4,4,4,4,4,4,4,4
7820134014,18505,4,4,4,4,4,4,4,4,4,4
7820175357,18506,4,4,4,4,4,4,4,4,4,4
7820209164,18507,4,4,4,4,4,4,4,4,4,4
7820226462,18508,4,4,4,4,4,4,4,4,4,4
7820260308,18509,4,4,4,4,4,4,4,4,4,4
7820316446,18510,4,4,4,4,4,4,4,4,4,4
7820331549,18511,4,4,4,4,4,4,4,4,4,4
7820359820,18512,4,4,4,4,4,4,4,4,4,4
7820388670,18513,4,4,4,4,4,4,4,4,4,4
7820439753,18514,4,4,4,4,4,4,4,4,4,4
7820463848,18515,4,4,4,4,4,4,4,4,4,4
7820480611,18516,4,4,4,4,4,4,4,4,4,4
7820517635,18517,4,4,4,4,4,4,4,4,4,4
7820561365,18518,4,4,4,4,4,4,4,4,4,4
7820586366,18519,4,4,4,4,4,4,4,4,4,4
7820609173,18520,4,4,4,4,4,4,4,4,4,4
7820644570,18521,4,4,4,4,4,4,4,4,4,4
7820677158,18522,4,4,4,4,4,4,4,4,4,4
7820701407,18523,4,4,4,4,4,4,4,4,4,4
7820729903,18524,4,4,4,4,4,4,4,4,4,4
7820765365,18525,4,4,4,4,4,4,4,4,4,4
7820800123,18526,4,4,4,4,4,4,4,4,4,4
7820830088,18527,4,4,4,4,4,4,4,4,4,4
7820857368,18528,4,4,4,4,4,4,4,4,4,4
7820885388,18529,4,4,4,4,4,4,4,4,4,4
7820924959,18530,4,4,4,4,4,4,4,4,4,4
7820952683,18531,4,4,4,4,4,4,4,4,4,4
7820981367,18532,4,4,4,4,4,4,4,4,4,4
7821014758,18533,4,4,4,4,4,4,4,4,4,4
7821069158,18534,4,4,4,4,4,4,4,4,4,4
7821082474,18535,4,4,4,4,4,4,4,4,4,4
7821113063,18536,4,4,4,4,4,4,4,4,4,4
7821151194,18537,4,4,4,4,4,4,4,4,4,4
7821171391,18538,4,4,4,4,4,4,4,4,4,4
7821226510,18539,4,4,4,4,4,4,4,4,4,4
7821258612,18540,4,4,4,4,4,4,4,4,4,4
7821274156,18541,4,4,4,4,4,4,4,4,4,4
7821290059,18542,4,4,4,4,4,4,4,4,4,4
7821326152,18543,4,4,4,4,4,4,4,4,4,4
7821356411,18544,4,4,4,4,4,4,4,4,4,4
7821384794,18545,4,4,4,4,4,4,4,4,4,4
7821432522,18546,4,4,4,4,4,4,4,4,4,4
7821450458,18547,4,4,4,4,4,4,4,4,4,4
7821499617,18548,4,4,4,4,4,4,4,4,4,4
7821518935,18549,4,4,4,4,4,4,4,4,4,4
7821548679,18550,4,4,4,4,4,4,4,4,4,4
7821580601,18551,4,4,4,4,4,4,4,4,4,4
7821626680,18552,4,4,4,4,4,4,4,4,4,4
7821646399,18553,4,4,4,4,4,4,4,4,4,4
