steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
8295452855,21359,4,4,4,4,4,4,4,4,4,4
8295506130,21360,4,4,4,4,4,4,4,4,4,4
8295526044,21361,4,4,4,4,4,4,4,4,4,4
8295554793,21362,4,4,4,4,4,4,4,4,4,4
8295584256,21363,4,4,4,4,4,4,4,4,4,4
8295624884,21364,4,4,4,4,4,4,4,4,4,4
8295651150,21365,4,4,4,4,4,4,4,4,4,4
8295673820,21366,4,4,4,4,4,4,4,4,4,4
8295704284,21367,4,4,4,4,4,4,4,4,4,4
8295740945,21368,4,4,4,4,4,4,4,4,4,4
8295772256,21369,4,4,4,4,4,4,4,4,4,4
8295805876,21370,4,4,4,4,4,4,4,4,4,4
8295832234,21371,4,4,4,4,4,4,4,4,4,4
8295865164,21372,4,4,4,4,4,4,4,4,4,4
8295897325,21373,4,4,4,4,4,4,4,4,4,4
8295950641,21374,4,4,4,4,4,4,4,4,4,4
8295981145,21375,4,4,4,4,4,4,4,4,4,4
8295986181,21376,4,4,4,4,4,4,4,4,4,4
8296016038,21377,4,4,4,4,4,4,4,4,4,4
8296052545,21378,4,4,4,4,4,4,4,4,4,4
8296096334,21379,4,4,4,4,4,4,4,4,4,4
8296111969,21380,4,4,4,4,4,4,4,4,4,4
8296141017,21381,4,4,4,4,4,4,4,4,4,4
8296221177,21382,4,4,4,4,4,4,4,4,4,4
8296224861,21383,4,4,4,4,4,4,4,4,4,4
8296234405,21384,4,4,4,4,4,4,4,4,4,4
8296269996,21385,4,4,4,4,4,4,4,4,4,4
8296329114,21386,4,4,4,4,4,4,4,4,4,4
8296335104,21387,4,4,4,4,4,4,4,4,4,4
8296362843,21388,4,4,4,4,4,4,4,4,4,4
8296392236,21389,4,4,4,4,4,4,4,4,4,4
8296446413,21390,4,4,4,4,4,4,4,4,4,4
8296457745,21391,4,4,4,4,4,4,4,4,4,4
8296488676,21392,4,4,4,4,4,4,4,4,4,4
8296512496,21393,4,4,4,4,4,4,4,4,4,4
8296590369,21394,4,4,4,4,4,4,4,4,4,4
8296600385,21395,4,4,4,4,4,4,4,4,4,4
8296634295,21396,4,4,4,4,4,4,4,4,4,4
8296644669,21397,4,4,4,4,4,4,4,4,4,4
8296684134,21398,4,4,4,4,4,4,4,4,4,4
8296704188,21399,4,4,4,4,4,4,4,4,4,4
8296737569,21400,4,4,4,4,4,4,4,4,4,4
8296767035,21401,4,4,4,4,4,4,4,4,4,4
8296806165,21402,4,4,4,4,4,4,4,4,4,4
8296838524,21403,4,4,4,4,4,4,4,4,4,4
8296861094,21404,4,4,4,4,4,4,4,4,4,4
