steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
7929761977,19148,4,4,4,4,4,4,4,4,4,4
7929800057,19149,4,4,4,4,4,4,4,4,4,4
7929827598,19150,4,4,4,4,4,4,4,4,4,4
7929875081,19151,4,4,4,4,4,4,4,4,4,4
7929909192,19152,4,4,4,4,4,4,4,4,4,4
7929920181,19153,4,4,4,4,4,4,4,4,4,4
7929975218,19154,4,4,4,4,4,4,4,4,4,4
7929991624,19155,4,4,4,4,4,4,4,4,4,4
7930035326,19156,4,4,4,4,4,4,4,4,4,4
7930043898,19157,4,4,4,4,4,4,4,4,4,4
7930080372,19158,4,4,4,4,4,4,4,4,4,4
7930107845,19159,4,4,4,4,4,4,4,4,4,4
7930156190,19160,4,4,4,4,4,4,4,4,4,4
7930167319,19161,4,4,4,4,4,4,4,4,4,4
7930204360,19162,4,4,4,4,4,4,4,4,4,4
7930231547,19163,4,4,4,4,4,4,4,4,4,4
7930273324,19164,4,4,4,4,4,4,4,4,4,4
7930289675,19165,4,4,4,4,4,4,4,4,4,4
7930326518,19166,4,4,4,4,4,4,4,4,4,4
7930354190,19167,4,4,4,4,4,4,4,4,4,4
7930389200,19168,4,4,4,4,4,4,4,4,4,4
7930418355,19169,4,4,4,4,4,4,4,4,4,4
7930451569,19170,4,4,4,4,4,4,4,4,4,4
7930513542,19171,4,4,4,4,4,4,4,4,4,4
7930535473,19172,4,4,4,4,4,4,4,4,4,4
7930540400,19173,4,4,4,4,4,4,4,4,4,4
7930574585,19174,4,4,4,4,4,4,4,4,4,4
7930628888,19175,4,4,4,4,4,4,4,4,4,4
7930648021,19176,4,4,4,4,4,4,4,4,4,4
7930666564,19177,4,4,4,4,4,4,4,4,4,4
7930692285,19178,4,4,4,4,4,4,4,4,4,4
7930746369,19179,4,4,4,4,4,4,4,4,4,4
7930772808,19180,4,4,4,4,4,4,4,4,4,4
