steady_timestamp,sequence,battery,flags,TMS-ch1
7929761977,19148,-2,0,32169.0000000000
7929800057,19149,-2,0,63420.0000000000
7929827598,19150,-2,0,94671.0000000000
7929875081,19151,-2,0,125922.0000000000
7929909192,19152,-2,0,157173.0000000000
7929920181,19153,-2,0,188424.0000000000
7929975218,19154,-2,0,219675.0000000000
7929991624,19155,-2,0,250926.0000000000
7930035326,19156,-2,0,282177.0000000000
7930043898,19157,-2,0,313428.0000000000
7930080372,19158,-2,0,344679.0000000000
7930107845,19159,-2,0,375930.0000000000
7930156190,19160,-2,0,407181.0000000000
7930167319,19161,-2,0,438432.0000000000
7930204360,19162,-2,0,469683.0000000000
7930231547,19163,-2,0,500934.0000000000
7930273324,19164,-2,0,532185.0000000000
7930289675,19165,-2,0,563436.0000000000
7930326518,19166,-2,0,594687.0000000000
7930354190,19167,-2,0,625938.0000000000
7930389200,19168,-2,0,657189.0000000000
7930418355,19169,-2,0,688440.0000000000
7930451569,19170,-2,0,719691.0000000000
7930513542,19171,-2,0,750942.0000000000
7930535473,19172,-2,0,782193.0000000000
7930540400,19173,-2,0,813444.0000000000
7930574585,19174,-2,0,844695.0000000000
7930628888,19175,-2,0,875946.0000000000
7930648021,19176,-2,0,907197.0000000000
7930666564,19177,-2,0,938448.0000000000
7930692285,19178,-2,0,969699.0000000000
7930746369,19179,0,0,1000950.0000000000
7930772808,19180,0,0,1032201.0000000000
7930795250,19181,0,0,1063452.0000000000
7930829312,19182,0,0,1094703.0000000000
7930872830,19183,0,0,1125954.0000000000
7930891562,19184,0,0,1157205.0000000000
7930919037,19185,0,0,1188456.0000000000
7930948052,19186,0,0,1219707.0000000000
7930986285,19187,0,0,1250958.0000000000
7931014045,19188,0,0,1282209.0000000000
7931044513,19189,0,0,1313460.0000000000
7931077750,19190,0,0,1344711.0000000000
7931109536,19191,0,0,1375962.0000000000
7931153161,19192,0,0,1407213.0000000000
7931174212,19193,0,0,1438464.0000000000
7931218046,19194,0,0,1469715.0000000000
7931231102,19195,0,0,1500966.0000000000
7931261350,19196,0,0,1532217.0000000000
7931299097,19197,0,0,1563468.0000000000
7931336524,19198,0,0,1594719.0000000000
7931353879,19199,0,0,1625970.0000000000
7931391762,19200,0,0,1657221.0000000000
7931448284,19201,0,0,1688472.0000000000
7931456749,19202,0,0,1719723.0000000000
7931475169,19203,0,0,1750974.0000000000
7931519293,19204,0,0,1782225.0000000000
7931566996,19205,0,0,1813476.0000000000
7931577893,19206,0,0,1844727.0000000000
7931604098,19207,0,0,1875978.0000000000
7931633287,19208,0,0,1907229.0000000000
7931685121,19209,0,0,1938480.0000000000
7931712715,19210,0,0,1969731.0000000000
7931733249,19211,0,0,2000982.0000000000
7931762000,19212,0,0,2032233.0000000000
7931817901,19213,0,0,2063484.0000000000
7931832754,19214,0,0,2094735.0000000000
7931865351,19215,0,0,2125986.0000000000
7931883521,19216,0,0,2157237.0000000000
7931935879,19217,0,0,2188488.0000000000
7931961851,19218,0,0,2219739.0000000000
7931982853,19219,0,0,2250990.0000000000
7932011124,19220,0,0,2282241.0000000000
7932044955,19221,0,0,2313492.0000000000
7932088205,19222,0,0,2344743.0000000000
7932112689,19223,0,0,2375994.0000000000
7932162891,19224,0,0,2407245.0000000000
7932174223,19225,0,0,2438496.0000000000
7932201766,19226,0,0,2469747.0000000000
7932243318,19227,0,0,2500998.0000000000
7932278957,19228,0,0,2532249.0000000000
7932298308,19229,0,0,2563500.0000000000
7932326673,19230,0,0,2594751.0000000000
7932359296,19231,0,0,2626002.0000000000
7932398282,19232,0,0,2657253.0000000000
7932430245,19233,0,0,2688504.0000000000
7932453193,19234,0,0,2719755.0000000000
7932481591,19235,0,0,2751006.0000000000
7932515076,19236,0,0,2782257.0000000000
7932543339,19237,0,0,2813508.0000000000
7932572485,19238,0,0,2844759.0000000000
7932627634,19239,0,0,2876010.0000000000
7932639272,19240,0,0,2907261.0000000000
7932668281,19241,0,0,2938512.0000000000
7932700422,19242,0,0,2969763.0000000000
7932751979,19243,0,0,3001014.0000000000
