steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
8191785842,21032,4,4,4,4,4,4,4,4,4,4
8191812385,21033,4,4,4,4,4,4,4,4,4,4
8191869992,21034,4,4,4,4,4,4,4,4,4,4
8191909642,21035,4,4,4,4,4,4,4,4,4,4
8191914005,21036,4,4,4,4,4,4,4,4,4,4
8191943636,21037,4,4,4,4,4,4,4,4,4,4
8191975746,21038,4,4,4,4,4,4,4,4,4,4
8192020888,21039,4,4,4,4,4,4,4,4,4,4
8192038611,21040,4,4,4,4,4,4,4,4,4,4
8192067087,21041,4,4,4,4,4,4,4,4,4,4
8192098426,21042,4,4,4,4,4,4,4,4,4,4
8192143592,21043,4,4,4,4,4,4,4,4,4,4
8192162128,21044,4,4,4,4,4,4,4,4,4,4
8192187614,21045,4,4,4,4,4,4,4,4,4,4
8192248267,21046,4,4,4,4,4,4,4,4,4,4
8192288312,21047,4,4,4,4,4,4,4,4,4,4
8192295020,21048,4,4,4,4,4,4,4,4,4,4
8192320985,21049,4,4,4,4,4,4,4,4,4,4
8192372583,21050,4,4,4,4,4,4,4,4,4,4
8192380621,21051,4,4,4,4,4,4,4,4,4,4
8192414892,21052,4,4,4,4,4,4,4,4,4,4
8192442843,21053,4,4,4,4,4,4,4,4,4,4
8192491386,21054,4,4,4,4,4,4,4,4,4,4
8192508606,21055,4,4,4,4,4,4,4,4,4,4
8192537382,21056,4,4,4,4,4,4,4,4,4,4
8192562210,21057,4,4,4,4,4,4,4,4,4,4
8192613243,21058,4,4,4,4,4,4,4,4,4,4
8192634906,21059,4,4,4,4,4,4,4,4,4,4
8192663484,21060,4,4,4,4,4,4,4,4,4,4
8192691661,21061,4,4,4,4,4,4,4,4,4,4
8192730474,21062,4,4,4,4,4,4,4,4,4,4
8192762377,21063,4,4,4,4,4,4,4,4,4,4
8192790249,21064,4,4,4,4,4,4,4,4,4,4
8192843443,21065,4,4,4,4,4,4,4,4,4,4
8192849485,21066,4,4,4,4,4,4,4,4,4,4
8192912245,21067,4,4,4,4,4,4,4,4,4,4
8192916101,21068,4,4,4,4,4,4,4,4,4,4
8192964822,21069,4,4,4,4,4,4,4,4,4,4
8192973620,21070,4,4,4,4,4,4,4,4,4,4
8193001081,21071,4,4,4,4,4,4,4,4,4,4
8193045261,21072,4,4,4,4,4,4,4,4,4,4
8193085301,21073,4,4,4,4,4,4,4,4,4,4
8193103553,21074,4,4,4,4,4,4,4,4,4,4
8193133727,21075,4,4,4,4,4,4,4,4,4,4
8193163691,21076,4,4,4,4,4,4,4,4,4,4
8193206197,21077,4,4,4,4,4,4,4,4,4,4
8193222292,21078,4,4,4,4,4,4,4,4,4,4
8193249471,21079,4,4,4,4,4,4,4,4,4,4
8193290436,21080,4,4,4,4,4,4,4,4,4,4
8193328610,21081,4,4,4,4,4,4,4,4,4,4
8193357469,21082,4,4,4,4,4,4,4,4,4,4
8193373395,21083,4,4,4,4,4,4,4,4,4,4
8193434125,21084,4,4,4,4,4,4,4,4,4,4
8193448609,21085,4,4,4,4,4,4,4,4,4,4
8193480278,21086,4,4,4,4,4,4,4,4,4,4
8193500300,21087,4,4,4,4,4,4,4,4,4,4
8193564303,21088,4,4,4,4,4,4,4,4,4,4
8193590266,21089,4,4,4,4,4,4,4,4,4,4
8193611235,21090,4,4,4,4,4,4,4,4,4,4
8193629738,21091,4,4,4,4,4,4,4,4,4,4
8193683062,21092,4,4,4,4,4,4,4,4,4,4
8193698529,21093,4,4,4,4,4,4,4,4,4,4
8193732632,21094,4,4,4,4,4,4,4,4,4,4
8193759858,21095,4,4,4,4,4,4,4,4,4,4
8193793385,21096,4,4,4,4,4,4,4,4,4,4
8193815100,21097,4,4,4,4,4,4,4,4,4,4
8193853586,21098,4,4,4,4,4,4,4,4,4,4
8193904993,21099,4,4,4,4,4,4,4,4,4,4
8193913575,21100,4,4,4,4,4,4,4,4,4,4
8193949361,21101,4,4,4,4,4,4,4,4,4,4
8193982368,21102,4,4,4,4,4,4,4,4,4,4
8194033620,21103,4,4,4,4,4,4,4,4,4,4
8194040954,21104,4,4,4,4,4,4,4,4,4,4
8194068795,21105,4,4,4,4,4,4,4,4,4,4
8194101209,21106,4,4,4,4,4,4,4,4,4,4
8194153434,21107,4,4,4,4,4,4,4,4,4,4
8194159361,21108,4,4,4,4,4,4,4,4,4,4
8194195268,21109,4,4,4,4,4,4,4,4,4,4
8194227709,21110,4,4,4,4,4,4,4,4,4,4
8194263762,21111,4,4,4,4,4,4,4,4,4,4
8194286292,21112,4,4,4,4,4,4,4,4,4,4
8194342266,21113,4,4,4,4,4,4,4,4,4,4
8194351259,21114,4,4,4,4,4,4,4,4,4,4
8194386224,21115,4,4,4,4,4,4,4,4,4,4
8194413701,21116,4,4,4,4,4,4,4,4,4,4
8194440226,21117,4,4,4,4,4,4,4,4,4,4
8194498444,21118,4,4,4,4,4,4,4,4,4,4
8194509104,21119,4,4,4,4,4,4,4,4,4,4
8194537497,21120,4,4,4,4,4,4,4,4,4,4
8194571496,21121,4,4,4,4,4,4,4,4,4,4
8194623599,21122,4,4,4,4,4,4,4,4,4,4
8194635283,21123,4,4,4,4,4,4,4,4,4,4
8194663797,21124,4,4,4,4,4,4,4,4,4,4
8194692551,21125,4,4,4,4,4,4,4,4,4,4
8194743579,21126,4,4,4,4,4,4,4,4,4,4
8194760270,21127,4,4,4,4,4,4,4,4,4,4
8194789198,21128,4,4,4,4,4,4,4,4,4,4
8194856693,21129,4,4,4,4,4,4,4,4,4,4
8194867391,21130,4,4,4,4,4,4,4,4,4,4
8194886477,21131,4,4,4,4,4,4,4,4,4,4
8194913662,21132,4,4,4,4,4,4,4,4,4,4
8194971276,21133,4,4,4,4,4,4,4,4,4,4
8194973606,21134,4,4,4,4,4,4,4,4,4,4
8195011178,21135,4,4,4,4,4,4,4,4,4,4
8195039829,21136,4,4,4,4,4,4,4,4,4,4
