steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
8317431280,21535,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
8317478729,21536,-2,0,8.4577636719,0.0358886719,-4.9837402344,-0.7012195122,2.1341463415,-0.7317073171,-40.1997990010,-44.5497772511,-14.0999295004
8317500070,21537,-2,0,8.4218750000,0.1555175781,-4.8593261719,-0.5792682927,1.2500000000,-0.7317073171,-40.9497952510,-43.4997825011,-16.3499182504
8317529985,21538,-2,0,8.4218750000,0.1555175781,-4.8593261719,-0.7317073171,1.9207317073,-0.2439024390,-40.9497952510,-43.4997825011,-16.3499182504
8317545937,21539,-2,0,8.5462890625,0.1770507813,-4.9645996094,-0.6402439024,2.1036585366,-0.0609756098,-40.9497952510,-43.4997825011,-16.3499182504
8317592388,21540,-2,0,8.5821777344,0.1603027344,-4.9311035156,-0.3658536585,1.8597560976,-0.0914634146,-40.1997990010,-44.2497787511,-13.3499332503
8317616284,21541,-2,0,8.5869628906,0.1220214844,-4.8952148438,-0.7621951220,1.3414634146,-0.4268292683,-40.1997990010,-44.2497787511,-13.3499332503
8317645021,21542,-2,0,8.5989257813,0.0717773438,-4.9047851563,-1.2804878049,1.2804878049,-0.1524390244,-40.1997990010,-44.2497787511,-13.3499332503
8317672417,21543,-2,0,8.5391113281,0.1148437500,-4.9311035156,-1.1890243902,1.8597560976,-0.5182926829,-40.0497997510,-44.8497757511,-14.2499287504
8317737514,21544,-2,0,8.5295410156,0.1459472656,-4.8904296875,-1.0060975610,1.8902439024,-0.7012195122,-40.0497997510,-44.8497757511,-14.2499287504
8317747251,21545,-2,0,8.6108886719,0.1459472656,-4.9287109375,-0.8536585366,1.4024390244,-0.1219512195,-40.0497997510,-44.8497757511,-14.2499287504
8317772157,21546,-2,0,8.5486816406,0.1459472656,-4.9023925781,-0.7621951220,1.7073170732,-0.1829268293,-39.7498012510,-45.5997720011,-14.2499287504
8317799585,21547,-2,0,8.5151855469,0.1148437500,-4.8641113281,-1.1280487805,2.4390243902,-0.8231707317,-39.7498012510,-45.5997720011,-14.2499287504
8317835951,21548,-2,0,8.5845703125,0.0550292969,-4.9047851563,-1.4024390244,2.1951219512,-0.7317073171,-39.7498012510,-45.5997720011,-14.2499287504
8317869918,21549,-2,0,8.5510742188,0.1004882813,-4.8904296875,-1.5853658537,2.3780487805,-0.3658536585,-39.7498012510,-43.9497802511,-14.2499287504
8317897479,21550,-2,0,8.5702148438,0.1435546875,-4.8449707031,-1.1890243902,2.8963414634,-0.2439024390,-39.7498012510,-43.9497802511,-14.2499287504
8317946291,21551,-2,0,8.5845703125,0.1411621094,-4.8473632813,-0.7317073171,2.4390243902,-0.0304878049,-39.7498012510,-43.9497802511,-14.2499287504
8317955284,21552,-2,0,8.6061035156,0.1459472656,-4.8354003906,-0.8841463415,2.7439024390,0.5182926829,-39.7498012510,-43.9497802511,-14.2499287504
8317988715,21553,-2,0,8.6515625000,0.1244140625,-4.8210449219,-1.1890243902,2.5304878049,1.5853658537,-39.7498012510,-43.9497802511,-14.2499287504
