steady_timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
5501039516,5727,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
5501070664,5728,-2,0,7.4241699219,-0.3493164063,-6.4719238281,-1.0060975610,0.5182926829,-0.5487804878,-18.7499062505,-57.8997105014,-41.8497907510
5501100489,5729,-2,0,7.3787109375,-0.4665527344,-6.5293457031,-1.1890243902,1.0060975610,-0.4268292683,-19.7999010005,-57.1497142514,-40.0497997510
5501132847,5730,-2,0,7.3523925781,-0.4498046875,-6.5939453125,-1.3719512195,0.7926829268,-0.5182926829,-19.7999010005,-57.1497142514,-40.0497997510
5501181923,5731,-2,0,7.3882812500,-0.4234863281,-6.6226562500,-1.2500000000,1.2195121951,-1.1280487805,-19.7999010005,-57.1497142514,-40.0497997510
5501198280,5732,-2,0,7.4241699219,-0.4043457031,-6.6274414063,-0.8231707317,1.4634146341,-0.6707317073,-19.1999040005,-56.5497172514,-41.6997915010
5501225488,5733,-2,0,7.4145996094,-0.4378417969,-6.6298339844,-0.5792682927,1.7378048780,0.1219512195,-19.1999040005,-56.5497172514,-41.6997915010
5501261818,5734,-2,0,7.4145996094,-0.4378417969,-6.6298339844,-0.8841463415,1.4939024390,-0.3353658537,-19.1999040005,-56.5497172514,-41.6997915010
5501322773,5735,-2,0,7.4241699219,-0.4737304688,-6.6106933594,-1.2500000000,0.8536585366,-0.7012195122,-19.7999010005,-57.8997105014,-41.0997945010
5501328837,5736,-2,0,7.3763183594,-0.4450195313,-6.5628417969,-1.0975609756,0.8841463415,-1.0060975610,-19.7999010005,-57.8997105014,-41.0997945010
5501349322,5737,-2,0,7.3571777344,-0.3947753906,-6.5939453125,-0.6707317073,0.5487804878,-1.3109756098,-19.7999010005,-57.8997105014,-41.0997945010
5501381737,5738,-2,0,7.4026367188,-0.4163085938,-6.6106933594,-0.2439024390,0.0914634146,-1.1890243902,-19.7999010005,-57.8997105014,-41.0997945010
5501422487,5739,-2,0,7.4002441406,-0.4306640625,-6.5963378906,-0.5792682927,0.1829268293,-0.9756097561,-19.7999010005,-57.8997105014,-41.0997945010
5501447978,5740,-2,0,7.3236816406,-0.4856933594,-6.5987304688,-1.3719512195,1.0670731707,-1.7378048780,-19.7999010005,-57.8997105014,-41.0997945010
5501475455,5741,-2,0,7.3763183594,-0.4426269531,-6.6083007813,-1.2804878049,1.7073170732,-1.1890243902,-19.4999025005,-59.0997045015,-40.7997960010
5501504199,5742,-2,0,7.3954589844,-0.4019531250,-6.5484863281,-1.3719512195,1.7987804878,-0.7317073171,-19.4999025005,-59.0997045015,-40.7997960010
5501541892,5743,-2,0,7.4313476563,-0.4019531250,-6.5771972656,-1.3109756098,1.1585365854,-0.2743902439,-19.4999025005,-59.0997045015,-40.7997960010
5501563502,5744,-2,0,7.4050292969,-0.4258789063,-6.5724121094,-1.4024390244,0.8841463415,0.0914634146,-20.6998965005,-57.7497112514,-41.6997915010
5501599327,5745,-2,0,7.3332519531,-0.4043457031,-6.5365234375,-1.2500000000,1.7073170732,-0.4878048780,-20.6998965005,-57.7497112514,-41.6997915010
5501653143,5746,-2,0,7.3739257813,-0.3804199219,-6.5724121094,-0.7012195122,2.3170731707,-0.8536585366,-20.6998965005,-57.7497112514,-41.6997915010
5501665688,5747,-2,0,7.4552734375,-0.3852050781,-6.5867675781,-0.2439024390,1.9512195122,-1.1585365854,-20.3998980005,-57.7497112514,-40.6497967510
5501691955,5748,-2,0,7.4911621094,-0.4067382813,-6.5125976563,-0.3963414634,0.9756097561,-0.9146341463,-20.3998980005,-57.7497112514,-40.6497967510
5501721463,5749,-2,0,7.4050292969,-0.4641601563,-6.5197753906,-1.0670731707,0.3963414634,-0.8231707317,-20.3998980005,-57.7497112514,-40.6497967510
5501770717,5750,-2,0,7.3763183594,-0.3899902344,-6.5628417969,-1.1890243902,0.2439024390,-1.1585365854,-20.3998980005,-57.7497112514,-40.6497967510
5501792063,5751,-2,0,7.3523925781,-0.3541015625,-6.6106933594,-0.6402439024,0.2439024390,-1.3719512195,-19.6499017505,-56.9997150014,-41.2497937510
5501814872,5752,-2,0,7.3356445313,-0.3517089844,-6.6178710938,0.0914634146,0.3048780488,-1.3719512195,-19.6499017505,-56.9997150014,-41.2497937510
5501850751,5753,-2,0,7.3284667969,-0.4091308594,-6.6394042969,0.2439024390,0.7012195122,-0.9146341463,-19.6499017505,-56.9997150014,-41.2497937510
5501899372,5754,-2,0,7.3356445313,-0.4330566406,-6.6346191406,-0.3353658537,1.1585365854,-0.5182926829,-19.6499017505,-56.9997150014,-41.2497937510
5501913997,5755,-2,0,7.3165039063,-0.4641601563,-6.5891601563,-1.4329268293,1.7378048780,-0.7621951220,-19.6499017505,-56.9997150014,-41.2497937510
5501960010,5756,-2,0,7.3643554688,-0.4067382813,-6.6059082031,-2.1341463415,2.6829268293,-0.4573170732,-19.6499017505,-56.9997150014,-41.2497937510
5502004429,5757,-2,0,7.4457031250,-0.3780273438,-6.6202636719,-1.7378048780,1.6768292683,0.0304878049,-20.5498972505,-58.3497082515,-41.8497907510
5502014365,5758,5,0,7.3667480469,-0.3899902344,-6.5532714844,-1.0060975610,1.7682926829,1.2195121951,-20.5498972505,-58.3497082515,-41.8497907510
5502047051,5759,5,0,7.3954589844,-0.4713378906,-6.5580566406,-1.1585365854,1.7987804878,0.7317073171,-20.5498972505,-58.3497082515,-41.8497907510
5502068560,5760,5,0,7.3882812500,-0.4761230469,-6.5580566406,-1.4939024390,1.5548780488,0.0609756098,-19.1999040005,-56.9997150014,-41.9997900010
5502096609,5761,5,0,7.3691406250,-0.3875976563,-6.5173828125,-1.4634146341,1.4939024390,-0.0304878049,-19.1999040005,-56.9997150014,-41.9997900010
5502131869,5762,5,0,7.4050292969,-0.3277832031,-6.5556640625,-0.8841463415,1.0060975610,0.0914634146,-19.1999040005,-56.9997150014,-41.9997900010
5502163022,5763,5,0,7.3858886719,-0.2775390625,-6.5508789063,0.0609756098,0.7926829268,-0.9756097561,-19.7999010005,-57.5997120014,-41.8497907510
5502197106,5764,5,0,7.4337402344,-0.3086425781,-6.5389160156,1.0060975610,0.6707317073,-1.6768292683,-19.7999010005,-57.5997120014,-41.8497907510
5502243290,5765,5,0,7.4672363281,-0.3923828125,-6.5700195313,-0.1524390244,-1.7378048780,0.3963414634,-19.7999010005,-57.5997120014,-41.8497907510
5502266899,5766,5,0,7.3571777344,-0.3828125000,-6.6154785156,-0.4573170732,-0.2743902439,0.8231707317,-19.1999040005,-57.7497112514,-40.9497952510
