steady_timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10
5592085958,6419,4,4,4,4,4,4,4,4,4,4
5592114752,6420,4,4,4,4,4,4,4,4,4,4
5592140667,6421,4,4,4,4,4,4,4,4,4,4
5592188182,6422,4,4,4,4,4,4,4,4,4,4
5592234614,6423,4,4,4,4,4,4,4,4,4,4
5592240630,6424,4,4,4,4,4,4,4,4,4,4
5592269503,6425,4,4,4,4,4,4,4,4,4,4
5592313390,6426,4,4,4,4,4,4,4,4,4,4
5592334349,6427,4,4,4,4,4,4,4,4,4,4
5592355290,6428,4,4,4,4,4,4,4,4,4,4
5592390664,6429,4,4,4,4,4,4,4,4,4,4
5592433004,6430,4,4,4,4,4,4,4,4,4,4
5592450547,6431,4,4,4,4,4,4,4,4,4,4
5592479546,6432,4,4,4,4,4,4,4,4,4,4
5592515816,6433,4,4,4,4,4,4,4,4,4,4
5592559612,6434,4,4,4,4,4,4,4,4,4,4
5592579339,6435,4,4,4,4,4,4,4,4,4,4
5592615826,6436,4,4,4,4,4,4,4,4,4,4
5592664864,6437,4,4,4,4,4,4,4,4,4,4
5592678749,6438,4,4,4,4,4,4,4,4,4,4
5592706986,6439,4,4,4,4,4,4,4,4,4,4
5592736111,6440,4,4,4,4,4,4,4,4,4,4
5592784443,6441,4,4,4,4,4,4,4,4,4,4
5592805735,6442,4,4,4,4,4,4,4,4,4,4
5592844816,6443,4,4,4,4,4,4,4,4,4,4
5592856877,6444,4,4,4,4,4,4,4,4,4,4
5592910322,6445,4,4,4,4,4,4,4,4,4,4
5592928392,6446,4,4,4,4,4,4,4,4,4,4
5592959603,6447,4,4,4,4,4,4,4,4,4,4
5592978683,6448,4,4,4,4,4,4,4,4,4,4
5593037042,6449,4,4,4,4,4,4,4,4,4,4
5593049672,6450,4,4,4,4,4,4,4,4,4,4
5593078668,6451,4,4,4,4,4,4,4,4,4,4
5593133392,6452,4,4,4,4,4,4,4,4,4,4
5593140899,6453,4,4,4,4,4,4,4,4,4,4
5593173354,6454,4,4,4,4,4,4,4,4,4,4
5593205332,6455,4,4,4,4,4,4,4,4,4,4
5593256030,6456,4,4,4,4,4,4,4,4,4,4
5593272285,6457,4,4,4,4,4,4,4,4,4,4
5593293781,6458,4,4,4,4,4,4,4,4,4,4
5593326460,6459,4,4,4,4,4,4,4,4,4,4
5593379775,6460,4,4,4,4,4,4,4,4,4,4
5593393190,6461,4,4,4,4,4,4,4,4,4,4
5593424356,6462,4,4,4,4,4,4,4,4,4,4
5593479817,6463,4,4,4,4,4,4,4,4,4,4
5593517450,6464,4,4,4,4,4,4,4,4,4,4
5593522048,6465,4,4,4,4,4,4,4,4,4,4
5593547631,6466,4,4,4,4,4,4,4,4,4,4
5593578708,6467,4,4,4,4,4,4,4,4,4,4
5593613404,6468,4,4,4,4,4,4,4,4,4,4
5593646193,6469,4,4,4,4,4,4,4,4,4,4
5593675958,6470,4,4,4,4,4,4,4,4,4,4
5593700377,6471,4,4,4,4,4,4,4,4,4,4
5593740290,6472,4,4,4,4,4,4,4,4,4,4
