steady_timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10
8453767220,8069,-2,0,56640.3610214649,59852.1341071519,40336.2921666542,58135.5276070680,56912.8565918147,63052.7615825490,66400.6790279878,58481.8080909521,68859.3081834251,28256.7381394976
8453767220,8069,-2,0,56652.9667553735,59835.0628285093,40342.7653813640,58141.2950953621,56881.5491078893,63067.9225327904,66424.6615584259,58473.9355911077,68883.8990987043,28249.4983598880
8453767220,8069,-2,0,56659.1479453595,59901.5227885562,40383.3933210558,58208.5702910961,56951.7323831640,63063.5908327214,66464.6446101860,58557.1626373766,68894.1929702165,28235.8218686590
8453767220,8069,-2,0,56653.7454879701,59968.6519719283,40407.0594913765,58256.4380103976,57037.5024780689,63025.1165753673,66472.5779485146,58628.4775084559,68874.3717920919,28232.4635843359
8453767220,8069,-2,0,56626.3316670281,59929.0096156792,40364.3508755279,58201.2331699119,57008.0444840606,62993.3102158721,66422.2523544549,58572.4452645862,68835.7393546791,28227.2193070052
8453767220,8069,-2,0,56613.1905544593,59826.6549500046,40303.2203666895,58111.0948718475,56896.1990148641,63007.1083840693,66376.7816714276,58453.2505065087,68825.3603092891,28221.8411850094
8453767220,8069,-2,0,56625.1514004362,59795.5421492283,40303.5367268069,58103.6239059983,56850.0104377242,63040.9467489339,66391.1882244659,58431.4216584083,68851.1558265538,28225.6131710245
8453767220,8069,-2,0,56644.5953799593,59877.4672519372,40365.3729620611,58187.7635295289,56933.8093657438,63060.4880700316,66440.6985828385,58537.8403348218,68880.9666837700,28233.6195155340
8453810199,8070,-2,0,56653.2709477940,59966.4739541970,40416.9031581062,58248.8697029737,57034.2780384108,63057.3609719481,66461.8947107040,58626.7010247197,68885.7972594087,28249.2063351642
8453810199,8070,-2,0,56634.6543716549,59947.0664777644,40394.5876021330,58206.9641551155,57018.5208710251,63019.3125839827,66423.4691241372,58585.0144954043,68861.9972444230,28251.2261728368
8453810199,8070,-2,0,56613.1662190656,59848.8244936160,40332.5810191232,58120.8290293059,56912.2482069735,63009.4810849498,66375.3823862929,58474.1546096505,68842.5289295063,28239.1801529821
8453810199,8070,-2,0,56621.2212343624,59797.3429683581,40314.3781446761,58100.9713480909,56851.0933627414,63036.9314089823,66384.5811650911,58432.5532542129,68856.8138055764,28229.8962003062
8453810199,8070,-2,0,56647.5277948936,59859.2765451869,40361.9051684665,58174.1600444809,56915.9593545045,63052.9927687886,66437.1456153662,58515.1962510343,68881.3682177651,28231.1008022917
8453810199,8070,-2,0,56650.9225823072,59946.8596269185,40405.9157278751,58245.4019093792,57019.8714853725,63029.4604431331,66460.8847918677,58615.7622652759,68876.6471513978,28229.7745233380
8453810199,8070,-2,0,56634.0703222074,59945.8740434758,40390.2315666703,58220.7866587064,57029.1189349579,63009.5297557371,66426.7909053699,58601.3557122375,68850.3162554730,28229.8718649126
8453810199,8070,-2,0,56625.2852451013,59862.3671401799,40342.7775490609,58139.3969346577,56938.2019042969,63033.3541061164,66386.8565243970,58495.4480790906,68846.0453938881,28237.0264706445
8453861626,8071,-2,0,56639.7404689269,59816.2880723115,40334.8563784291,58118.9430362983,56873.9929681622,63062.0211998312,66399.0728920072,58450.7196255695,68872.7169853240,28241.8692139800
8453861626,8071,-2,0,56658.7220759707,59869.0350380389,40380.8016016326,58185.6098471912,56923.3086433856,63070.7819415438,66445.8333508978,58525.3927809719,68896.3953233415,28240.6037735104
8453861626,8071,-2,0,56657.4323001075,59942.5157591527,40415.3700283065,58246.7038529392,57009.8088000999,63038.8904081708,66463.9753868608,58607.8289269473,68884.3128003963,28229.2269769810
8453861626,8071,-2,0,56635.9563152150,59940.1795613627,40395.6826948470,58222.8308317726,57022.1103415879,63010.1138051846,66433.7021571653,58593.4832123931,68852.5307762948,28224.6640906724
8453861626,8071,-2,0,56615.7822738826,59863.0606988989,40346.4156904109,58142.8282251618,56942.1077349770,63018.7893730193,66388.6086727395,58501.7631137417,68839.6208499656,28233.0841368738
8453861626,8071,-2,0,56625.7354498837,59804.4002325155,40329.9527966095,58103.1250304285,56866.8018593399,63057.0202764370,66386.3941519177,58442.8227903314,68861.3766918850,28242.5627726989
8453861626,8071,-2,0,56651.3971224833,59846.6464758847,40369.3639666190,58162.1261923230,56901.9665031582,63077.3159947377,66432.3028720307,58504.6468578888,68892.4651572677,28237.8903771189
8453861626,8071,-2,0,56669.0159474829,59946.7622853439,40425.5665582442,58256.6205258499,57015.3572698512,63062.2037152836,66476.6784623439,58623.5495912426,68898.6220118601,28239.5208484932
8453895357,8072,-2,0,56656.4467166648,59969.8322385202,40417.8400707616,58255.3550853803,57050.2177212489,63032.7457212752,66454.5089187325,58635.1089032244,68874.0554319745,28241.6501954372
8453895357,8072,-2,0,56637.9639851908,59892.2266681834,40361.6618145301,58168.8305932724,56968.6941525352,63023.3765947216,66403.0517288683,58530.7222321803,68852.3360931456,28242.0882325228
8453895357,8072,-2,0,56632.7805463442,59818.9893010062,40326.0469659293,58111.6667535982,56876.8280415220,63042.5042141272,66387.8664432333,58452.0215691296,68859.2960157283,28237.8782094221
8453895357,8072,-2,0,56644.1573428737,59845.7460663198,40355.6631399964,58152.1365132313,56894.7753943358,63054.9882710676,66422.2280190613,58496.8960350126,68878.3871320435,28234.8484529132
8453895357,8072,-2,0,56654.4390466890,59930.7617640217,40403.5308592978,58225.9579298561,56989.4035725278,63041.5186306846,66453.7545215295,58593.5805539677,68878.1681135007,28235.0553037591
8453895357,8072,-2,0,56642.6485484676,59961.7163847393,40404.0784056549,58236.4099814270,57033.1829456968,63018.2661620559,66441.3313030733,58619.3395681418,68857.2396749652,28235.8462040526
8453895357,8072,-2,0,56631.4786027842,59905.6719731728,40363.3287889948,58171.9333559623,56977.3575526731,63016.1368151119,66401.8349591860,58545.1774560060,68842.3099109635,28243.5240207479
8453895357,8072,-2,0,56635.2384211024,59827.6770365377,40329.3565794652,58111.2773872999,56887.3530992738,63052.3965516443,66386.1507979812,58460.5389569056,68859.5272019680,28247.6732053645
8453922940,8073,-2,0,56649.4746263853,59838.8226468276,40351.5382907734,58137.4379354692,56886.0024849265,63063.2136341199,66417.1419217893,58486.2006295052,68886.3448057657,28235.8340363558
8453922940,8073,-2,0,56647.5642979841,59921.2952958935,40397.0089738007,58210.3224394386,56976.7004970447,63040.1680163372,66447.4151514847,58587.3628608911,68884.2276265185,28227.0489592497
8453922940,8073,-2,0,56632.4398508332,59955.2188346358,40400.3915935175,58220.2391123493,57029.4109596816,63012.3526614000,66428.1415197172,58616.2246377552,68855.5118620164,28228.1440519637
8453922940,8073,-2,0,56620.1383093452,59898.1280011426,40357.6708099722,58151.0779236077,56970.2881208190,63009.9799605195,66383.3765631056,58532.9610883958,68835.2161437157,28238.3162465077
8453922940,8073,-2,0,56619.1040551152,59818.2349038031,40321.4232411366,58090.2151040994,56874.5648499129,63031.9669886786,66366.9258370010,58446.7529564052,68842.4194202349,28228.7524368049
8453922940,8073,-2,0,56637.8301405257,59827.1173224839,40343.1425799656,58121.9606251104,56871.4255841326,63058.1518722415,66406.3005039200,58471.3195362907,68872.8143268986,28230.6384298124
8453922940,8073,-2,0,56643.3664425802,59904.9175759698,40385.8025250268,58195.2709984687,56952.5476188511,63036.6393842586,66446.2227171961,58564.1103922625,68876.3672943709,28229.1661384968
8453922940,8073,-2,0,56625.9788038202,59949.5365202195,40392.4582551889,58220.0565968970,57012.1571655867,62995.0258611241,66441.6476631907,58610.4693171579,68848.6736164019,28227.6816794844
8453951664,8074,-2,0,56608.5059911824,59907.9229970850,40354.0448363189,58167.7598359520,56976.7248324383,62993.2007066007,66401.8106237924,58551.4681552635,68824.3382227560,28239.0341406203
8453951664,8074,-2,0,56610.9030274566,59823.1506533196,40312.7233379082,58097.2358651662,56875.4409240841,63017.1223985546,66372.9488469283,58449.9895637601,68828.4144011917,28245.3126721809
8453951664,8074,-2,0,56631.8436336888,59816.3732461892,40326.9960462815,58114.9155286500,56853.1862065950,63047.3834605532,66404.1346538855,58452.5204446993,68857.2518426621,28234.7267759449
8453951664,8074,-2,0,56644.3641937197,59900.3060188739,40381.6290050165,58199.1403260584,56942.8621321801,63042.6988972764,66448.9482812844,58558.2942331811,68872.2667805416,28220.9042723541
8453951664,8074,-2,0,56632.2451676840,59956.9709829783,40400.7566244222,58231.4333934264,57020.5407086977,63012.4500029746,66445.3953138121,58612.4526517401,68851.2896712188,28221.3666448333
8453951664,8074,-2,0,56611.4992446009,59914.5300564599,40362.3310378553,58171.2519649402,56985.4125679699,62997.6175805474,66399.3527490341,58551.5046583539,68826.0173649176,28228.2778966288
8453951664,8074,-2,0,56603.4320616073,59826.7887946697,40314.6458340062,58096.4327971759,56886.2215034693,63005.7942728124,66366.7798246391,58451.6200351344,68824.3017196655,28230.4924174505
8453951664,8074,-2,0,56611.4749092072,59795.8220062553,40309.1703704359,58088.7184773902,56844.4254648825,63023.2062469661,66380.3224712030,58431.7623539194,68838.0755524691,28222.9484454203
