steady_timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10
1364136323,26352,-2,0,48715.4792421987,50762.1345186048,53084.8626682267,60240.1497911386,53648.1296895543,55751.8149609696,52710.1584445642,46865.7703065687,53661.8791869642,4614.8058709467
1364136323,26352,-2,0,48714.5179941497,50767.1962804831,53084.0352648427,60238.3003012216,53648.2513665225,55748.6026890083,52707.0191787838,46861.5116126806,53657.0121082350,4607.5904267307
1364136323,26352,-2,0,48710.7338404377,50772.5013962980,53083.3782092143,60233.8834272748,53649.9548440777,55743.7599456728,52703.5270497957,46856.7175401324,53653.2401222199,4608.6733517480
1364136323,26352,-2,0,48711.4030637630,50768.9484288256,53083.9622586618,60234.6013213874,53650.3320426792,55754.6135312388,52705.8632475857,46862.3146806710,53657.0607790223,4614.2461568929
1364136323,26352,-2,0,48717.0975458761,50776.4924008559,53092.3092986823,60241.0136976131,53661.1856282453,55762.1331678754,52711.7037420607,46870.4183667550,53663.6556707004,4620.8532162677
1364136323,26352,-2,0,48714.0921247608,50782.9899509593,53094.0614470248,60240.0646172609,53663.3028074925,55750.6103589841,52708.2846192534,46867.4981195175,53659.7255046266,4622.9947309086
1364136323,26352,-2,0,48709.7360892982,50773.6086567088,53086.0307671217,60235.5504017396,53657.1459529001,55741.6305987288,52705.6320613460,46863.8113073802,53654.3352149340,4619.8554651283
1364136323,26352,-2,0,48711.5369084280,50770.1530308111,53083.2443645492,60238.5801582485,53653.6538239119,55747.3859193260,52707.5910605345,46864.0424936198,53654.5055626895,4616.9108824971
1364156222,26353,-2,0,48711.2813867947,50778.0620337460,53086.0916056058,60238.4463135834,53656.7809219954,55751.7297870918,52705.5955582556,46863.1664194486,53657.4136422302,4622.9947309086
1364156222,26353,-2,0,48712.2791379342,50778.4879031348,53091.0073551223,60239.0303630309,53659.9566908662,55762.9849066530,52707.0435141775,46867.2669332779,53665.1401297128,4636.1601788710
1364156222,26353,-2,0,48718.3143155584,50778.1350399270,53097.0912035337,60244.6275035695,53664.1058754828,55773.9114984000,52714.4049707554,46876.1371842618,53676.6386032104,4640.6743943923
1364156222,26353,-2,0,48718.7036818567,50787.1513032728,53105.7302682780,60245.5279131344,53669.1798050580,55770.6748910451,52712.1904499336,46877.7798233329,53680.1063968050,4638.4842089642
1364156222,26353,-2,0,48712.4738210834,50789.1954763390,53102.4206547422,60240.2227973196,53667.5493336837,55758.6045357968,52708.4793024026,46872.8519061196,53672.7936110144,4636.2453527488
1364156222,26353,-2,0,48715.1750497781,50781.9921998198,53098.9285257540,60243.1187091634,53665.3104774683,55759.3954360903,52711.5090589115,46878.2178604185,53672.4529155034,4632.0109942544
1364156222,26353,-2,0,48716.4526579445,50781.3108087978,53097.3467251670,60243.9704479411,53666.1378808523,55755.6842885593,52712.8353378652,46877.1106000076,53671.7958598749,4625.6107857255
1364156222,26353,-2,0,48708.6288288873,50779.1814618537,53089.9244301050,60234.1511166049,53660.5650757073,55749.3692539082,52702.5414663530,46866.6828838304,53663.0229504656,4620.1109867615
1364186245,26354,-2,0,48708.2029594985,50773.9371845231,53087.4543876500,60230.6103168295,53657.8030085285,55757.8866416842,52701.7627337563,46866.9992439478,53665.8945269158,4621.1817440820
1364186245,26354,-2,0,48714.6883419052,50779.4369834870,53093.1367020663,60238.1056180724,53665.2374712874,55766.7325572745,52706.9583402997,46875.6991471762,53672.3920770192,4623.6396188402
1364186245,26354,-2,0,48714.4449879687,50789.2198117327,53096.6653341449,60240.8433498576,53668.9607865152,55760.0889948092,52708.8808363978,46874.0686758019,53670.7129348577,4628.1416666647
1364186245,26354,-2,0,48712.4616533866,50786.2265583142,53095.2052105262,60242.0844549335,53666.6245887252,55755.5869469847,52709.8664198404,46876.2466935332,53669.5205005690,4632.7897268511
1364186245,26354,-2,0,48714.0799570640,50778.5609093158,53093.6355776360,60242.4373181414,53664.9454465636,55758.2151694984,52713.7479151269,46878.0961834503,53672.3434062320,4630.1615043373
